word,layer_1,layer_2
truth,0.006,0.003
prevent,0.024,0.011
distribution,0.014,0.026
political,0.009,0.013
religious,0.022,0.024
moral,0.029,0.017
meeting,0.022,0.023
electrical,0.026,0.044
connection,0.035,0.014
between,0.021,0.02
earth,0.067,0.039
large,0.009,0.023
conducting,0.034,0.081
such,0.009,0.009
taken,0.026,0.026
zero,0.064,0.045
voltage,0.025,0.017
agent,0.013,0.012
activity,0.037,0.017
famous,0.011,0.017
fictional,0.013,0.017
well,0.037,0.017
known,0.022,0.031
person,0.063,0.074
who,0.005,0.004
controls,0.038,0.054
machine,0.048,0.033
some,0.005,0.008
find,0.003,0.007
indicate,0.011,0.004
site,0.039,0.027
instrument,0.031,0.017
survey,0.029,0.036
engage,0.01,0.006
activities,0.01,0.011
illegal,0.007,0.008
nature,0.05,0.035
agreement,0.019,0.017
secret,0.019,0.014
towards,0.009,0.01
purpose,0.044,0.024
equivalent,0.027,0.021
have,0.004,0.007
same,0.016,0.016
effect,0.062,0.038
survive,0.046,0.038
pulling,0.013,0.022
money,0.023,0.016
voluntary,0.06,0.142
gift,0.008,0.009
ideas,0.028,0.041
made,0.009,0.009
sudden,0.008,0.005
emotional,0.011,0.022
loud,0.081,0.081
emotion,0.002,0.005
when,0.008,0.012
go,0.007,0.006
restore,0.004,0.04
revive,0.062,0.096
previous,0.023,0.03
settlement,0.013,0.007
distant,0.04,0.089
their,0.004,0.006
settle,0.007,0.005
far,0.042,0.029
home,0.035,0.033
but,0.011,0.012
maintain,0.019,0.098
ties,0.04,0.085
remain,0.008,0.015
are,0.004,0.008
under,0.008,0.009
system,0.015,0.01
government,0.024,0.016
The,0.042,0.032
discovery,0.007,0.01
exhibition,0.077,0.096
formal,0.025,0.032
series,0.025,0.018
statements,0.012,0.014
showing,0.013,0.022
true,0.062,0.078
else,0.055,0.016
necessarily,0.037,0.032
follows,0.016,0.029
enter,0.006,0.005
involved,0.027,0.025
condition,0.051,0.037
project,0.045,0.078
do,0.004,0.019
units,0.025,0.011
express,0.029,0.068
weight,0.016,0.01
concern,0.028,0.033
affair,0.058,0.07
thought,0.004,0.01
strong,0.021,0.036
sexual,0.009,0.011
feel,0.01,0.02
desire,0.039,0.038
want,0.015,0.005
strongly,0.069,0.122
expression,0.013,0.029
character,0.01,0.01
separate,0.015,0.013
writing,0.017,0.013
facility,0.022,0.02
secure,0.028,0.076
often,0.004,0.005
where,0.004,0.006
emit,0.016,0.013
noise,0.021,0.021
sound,0.03,0.03
contact,0.066,0.104
possibly,0.063,0.017
out,0.022,0.014
information,0.018,0.015
understand,0.007,0.005
realize,0.044,0.021
get,0.005,0.007
know,0.01,0.009
aware,0.008,0.004
head,0.021,0.027
country,0.019,0.019
chief,0.017,0.01
executive,0.015,0.012
republic,0.002,0.005
lips,0.042,0.03
touch,0.028,0.021
press,0.022,0.025
against,0.009,0.014
mouth,0.082,0.037
other,0.006,0.005
love,0.008,0.002
etc,0.027,0.015
natural,0.012,0.01
force,0.041,0.039
drawing,0.012,0.012
change,0.021,0.011
decrease,0.032,0.025
gradual,0.012,0.01
charge,0.029,0.035
current,0.058,0.066
evaluation,0.071,0.124
estimation,0.004,0.002
worth,0.016,0.004
grade,0.01,0.01
letter,0.045,0.031
indicating,0.004,0.012
student,0.013,0.012
responsibility,0.07,0.041
managing,0.01,0.005
rush,0.021,0.011
toward,0.008,0.007
fail,0.041,0.007
suffer,0.02,0.014
failure,0.029,0.012
property,0.026,0.015
An,0.041,0.013
text,0.02,0.019
corresponding,0.223,0.296
note,0.03,0.097
source,0.017,0.016
quoted,0.029,0.135
passage,0.008,0.003
instance,0.03,0.023
visual,0.027,0.045
perception,0.078,0.092
followed,0.062,0.115
`,0.008,0.008
amount,0.03,0.021
forth,0.07,0.044
sway,0.011,0.035
better,0.024,0.029
A,0.052,0.061
marking,0.023,0.063
admission,0.044,0.064
community,0.028,0.013
admitting,0.01,0.019
full,0.02,0.035
participation,0.031,0.047
church,0.007,0.008
regard,0.078,0.084
location,0.018,0.015
single,0.011,0.029
command,0.033,0.022
Change,0.058,0.028
give,0.009,0.006
receive,0.015,0.032
stop,0.012,0.016
placed,0.026,0.039
sentence,0.044,0.038
drug,0.011,0.031
grow,0.03,0.021
rapidly,0.007,0.015
increase,0.008,0.004
manner,0.056,0.056
high,0.023,0.013
pitched,0.075,0.273
tone,0.037,0.031
voice,0.044,0.08
animal,0.041,0.043
human,0.009,0.017
might,0.032,0.026
sounds,0.008,0.001
animals,0.013,0.024
kept,0.028,0.05
use,0.026,0.019
profit,0.045,0.05
variety,0.068,0.049
within,0.007,0.014
discipline,0.015,0.012
branch,0.035,0.046
knowledge,0.046,0.064
records,0.044,0.029
past,0.087,0.086
events,0.014,0.011
involving,0.022,0.038
aim,0.108,0.117
attack,0.024,0.032
victim,0.028,0.03
influence,0.022,0.026
military,0.009,0.008
lost,0.011,0.032
death,0.01,0.017
capture,0.028,0.049
escape,0.073,0.053
avoid,0.022,0.015
loss,0.023,0.014
giving,0.006,0.008
up,0.014,0.012
selling,0.026,0.024
less,0.014,0.01
than,0.027,0.007
its,0.006,0.006
sharp,0.03,0.043
quantity,0.03,0.02
key,0.022,0.021
pitch,0.081,0.056
volume,0.009,0.005
likely,0.018,0.036
reasons,0.016,0.011
music,0.019,0.018
message,0.014,0.025
refusing,0.011,0.036
offered,0.011,0.01
speaking,0.045,0.05
bring,0.006,0.002
silence,0.094,0.09
opening,0.007,0.009
obstructed,0.029,0.035
cut,0.017,0.008
wear,0.024,0.014
away,0.027,0.011
plant,0.031,0.023
structure,0.018,0.019
near,0.014,0.025
top,0.038,0.036
forms,0.035,0.103
list,0.037,0.026
particular,0.008,0.04
being,0.009,0.009
bill,0.029,0.023
stress,0.054,0.102
above,0.012,0.013
believing,0.002,0.013
confidence,0.008,0.005
others,0.024,0.015
attempt,0.067,0.053
effort,0.02,0.011
goal,0.05,0.019
intensity,0.034,0.024
advance,0.028,0.019
clean,0.017,0.042
thoroughly,0.05,0.062
hard,0.027,0.011
rubbing,0.022,0.01
small,0.011,0.03
pieces,0.061,0.056
injured,0.072,0.077
broken,0.019,0.029
pressure,0.039,0.03
point,0.025,0.025
direct,0.038,0.05
weapon,0.04,0.024
blow,0.033,0.024
objects,0.016,0.031
equipment,0.002,0.006
put,0.012,0.007
convey,0.053,0.026
wind,0.031,0.02
twist,0.064,0.027
together,0.03,0.017
performing,0.03,0.042
holding,0.013,0.02
flowers,0.036,0.052
open,0.017,0.01
glass,0.019,0.016
hold,0.017,0.013
preserve,0.024,0.003
keep,0.004,0.004
safety,0.018,0.05
sugar,0.037,0.016
transport,0.023,0.041
development,0.007,0.015
becoming,0.01,0.01
longer,0.009,0.008
more,0.013,0.008
important,0.016,0.023
sure,0.022,0.025
careful,0.084,0.054
supply,0.028,0.029
furnish,0.033,0.013
needed,0.07,0.074
wanted,0.018,0.035
useful,0.021,0.038
necessary,0.027,0.022
off,0.02,0.014
hair,0.027,0.017
edge,0.029,0.057
tool,0.023,0.02
learn,0.013,0.006
books,0.019,0.006
support,0.027,0.032
lengthen,0.093,0.056
extend,0.018,0.018
duration,0.023,0.013
space,0.009,0.008
happening,0.041,0.04
doing,0.022,0.044
provides,0.004,0.005
advice,0.007,0.008
direction,0.035,0.025
decision,0.018,0.011
course,0.068,0.032
actions,0.005,0.012
self,0.033,0.028
contained,0.027,0.043
lessen,0.118,0.08
impact,0.019,0.031
severe,0.015,0.03
opinion,0.006,0.005
judgment,0.025,0.028
qualities,0.1,0.092
whip,0.085,0.109
beat,0.016,0.019
severely,0.004,0.04
form,0.011,0.021
progress,0.029,0.022
according,0.085,0.03
plan,0.015,0.027
produce,0.011,0.023
branches,0.017,0.02
scope,0.111,0.126
environment,0.012,0.01
walk,0.028,0.033
e.g.,0.039,0.032
numbers,0.011,0.008
recognize,0.04,0.018
fact,0.075,0.058
piece,0.027,0.027
possess,0.006,0.006
through,0.024,0.066
behavior,0.024,0.024
medium,0.013,0.014
control,0.026,0.027
rate,0.012,0.016
mechanical,0.109,0.288
various,0.003,0.012
devices,0.04,0.019
controlling,0.003,0.004
fluid,0.03,0.05
temperature,0.019,0.012
Form,0.032,0.004
whole,0.047,0.028
united,0.014,0.025
consistent,0.01,0.005
legs,0.024,0.03
informal,0.003,0.004
terms,0.02,0.009
leg,0.102,0.09
objective,0.063,0.082
believed,0.009,0.005
cold,0.027,0.012
conditions,0.03,0.027
apart,0.01,0.018
percentage,0.011,0.024
assets,0.018,0.011
due,0.016,0.015
contributed,0.061,0.274
victory,0.031,0.04
parallel,0.032,0.033
proper,0.01,0.029
arrange,0.01,0.01
straight,0.077,0.054
cloth,0.01,0.012
thrown,0.015,0.018
over,0.018,0.012
frame,0.017,0.009
windows,0.008,0.003
protective,0.02,0.021
measure,0.032,0.024
probability,0.014,0.008
how,0.007,0.011
will,0.004,0.006
occur,0.012,0.007
expressing,0.003,0.003
ratio,0.03,0.015
favorable,0.018,0.026
cases,0.032,0.051
possible,0.04,0.062
judges,0.005,0.049
finds,0.014,0.017
makes,0.003,0.002
rescue,0.042,0.049
release,0.03,0.023
recovery,0.007,0.005
danger,0.053,0.04
perceive,0.042,0.05
pay,0.009,0.014
attention,0.032,0.02
limit,0.057,0.076
compel,0.044,0.014
threats,0.027,0.028
stick,0.025,0.043
host,0.137,0.198
invalid,0.043,0.032
already,0.025,0.044
begun,0.053,0.084
enjoy,0.013,0.01
approve,0.07,0.093
per,0.025,0.024
relation,0.082,0.062
approximate,0.008,0.026
attribute,0.026,0.051
definition,0.014,0.022
example,0.019,0.006
owner,0.017,0.014
rocky,0.038,0.072
sea,0.015,0.011
calculate,0.007,0.032
ability,0.048,0.01
portion,0.026,0.016
played,0.021,0.045
bringing,0.036,0.031
result,0.07,0.058
most,0.027,0.026
1,0.048,0.058
normally,0.004,0.005
highly,0.019,0.016
gas,0.018,0.01
universe,0.035,0.032
unit,0.013,0.013
cost,0.017,0.031
chance,0.037,0.03
rising,0.048,0.099
falling,0.013,0.022
pattern,0.079,0.035
calendar,0.066,0.053
period,0.014,0.013
containing,0.016,0.01
days,0.016,0.02
face,0.03,0.036
courage,0.01,0.004
medicine,0.037,0.011
organism,0.033,0.029
defend,0.011,0.011
disease,0.037,0.015
resist,0.032,0.049
statement,0.054,0.039
idea,0.021,0.012
expressed,0.03,0.064
perform,0.013,0.004
duty,0.085,0.065
offices,0.044,0.027
serve,0.055,0.049
function,0.034,0.03
soldier,0.035,0.039
member,0.035,0.023
forces,0.031,0.043
trained,0.023,0.028
shock,0.007,0.002
troops,0.019,0.026
hit,0.015,0.012
run,0.02,0.01
raids,0.04,0.03
master,0.015,0.027
overcome,0.019,0.066
deal,0.017,0.015
damaged,0.072,0.115
tissue,0.007,0.014
living,0.024,0.055
combat,0.015,0.026
directions,0.118,0.073
twice,0.012,0.007
great,0.017,0.019
Give,0.014,0.023
incentive,0.003,0.002
stir,0.005,0.004
urge,0.066,0.091
Funeral,0.01,0.02
trade,0.019,0.016
funeral,0.023,0.018
director,0.031,0.021
catch,0.011,0.039
fire,0.035,0.029
method,0.017,0.013
solving,0.012,0.001
problem,0.026,0.017
successful,0.018,0.022
reach,0.018,0.017
benchmark,0.104,0.133
develop,0.033,0.063
positive,0.027,0.036
way,0.076,0.05
somewhere,0.026,0.04
leave,0.018,0.014
rope,0.055,0.054
wire,0.042,0.039
cable,0.025,0.023
constructed,0.065,0.074
underground,0.028,0.009
trains,0.058,0.113
cars,0.036,0.034
identify,0.014,0.016
because,0.004,0.004
experience,0.031,0.038
fully,0.01,0.015
own,0.022,0.024
very,0.004,0.005
slightly,0.017,0.026
incorporate,0.011,0.08
food,0.019,0.012
mixture,0.007,0.054
repeatedly,0.019,0.05
turning,0.005,0.005
without,0.006,0.007
stirring,0.016,0.035
beating,0.042,0.049
guide,0.027,0.045
draw,0.011,0.024
pass,0.038,0.014
across,0.017,0.04
deliver,0.007,0.008
harm,0.06,0.103
harming,0.108,0.054
strike,0.059,0.09
medical,0.008,0.004
procedure,0.076,0.079
manual,0.045,0.073
fetus,0.058,0.076
aid,0.044,0.052
delivery,0.011,0.009
continue,0.014,0.043
begin,0.007,0.02
anew,0.067,0.045
come,0.01,0.006
upon,0.032,0.018
suddenly,0.007,0.009
introduction,0.089,0.068
starting,0.026,0.047
first,0.01,0.015
introducing,0.032,0.01
folding,0.035,0.047
train,0.03,0.048
taste,0.027,0.019
teach,0.029,0.054
lines,0.016,0.031
underneath,0.013,0.047
call,0.008,0.011
possibility,0.016,0.007
future,0.037,0.037
prediction,0.018,0.002
require,0.01,0.002
need,0.008,0.008
indication,0.018,0.013
damage,0.027,0.045
burst,0.007,0.003
light,0.021,0.02
health,0.012,0.006
existence,0.082,0.043
characterized,0.013,0.004
sense,0.039,0.021
lack,0.018,0.006
changing,0.025,0.02
circuit,0.012,0.009
returning,0.01,0.017
circles,0.02,0.042
several,0.005,0.006
submit,0.042,0.161
send,0.031,0.101
joined,0.056,0.091
linked,0.018,0.029
different,0.021,0.029
during,0.005,0.005
distinct,0.013,0.012
acquire,0.026,0.067
seize,0.012,0.031
gain,0.053,0.092
possession,0.015,0.006
pledge,0.044,0.047
entirely,0.053,0.128
decide,0.019,0.013
schedule,0.007,0.022
charity,0.046,0.059
regulate,0.056,0.1
appeal,0.028,0.015
superior,0.014,0.013
status,0.029,0.012
rank,0.021,0.021
strength,0.062,0.106
cease,0.025,0.02
break,0.018,0.013
down,0.01,0.028
reply,0.003,0.009
question,0.026,0.029
comment,0.104,0.118
speech,0.037,0.027
react,0.028,0.008
case,0.033,0.021
forcing,0.028,0.009
yourself,0.007,0.005
forced,0.126,0.135
restricted,0.005,0.007
explain,0.01,0.032
pursue,0.04,0.071
sport,0.036,0.027
wild,0.006,0.016
opposition,0.026,0.026
added,0.013,0.047
bank,0.016,0.015
similar,0.027,0.024
institution,0.068,0.098
routine,0.03,0.035
assembled,0.017,0.032
movement,0.032,0.02
party,0.03,0.022
dancing,0.043,0.035
server,0.035,0.059
science,0.021,0.014
client,0.022,0.05
stations,0.015,0.032
files,0.015,0.013
resources,0.018,0.016
network,0.016,0.058
prohibit,0.09,0.135
public,0.008,0.01
movie,0.018,0.016
newspaper,0.031,0.034
file,0.041,0.039
contains,0.115,0.077
using,0.006,0.005
seven,0.003,0.01
bit,0.042,0.046
acknowledging,0.0,0.004
pretending,0.001,0.001
outward,0.007,0.053
feeling,0.015,0.012
widely,0.036,0.031
connect,0.018,0.006
target,0.033,0.04
quickly,0.058,0.076
income,0.01,0.01
collected,0.052,0.051
tax,0.031,0.028
taxation,0.024,0.048
deciding,0.047,0.077
factor,0.026,0.016
affairs,0.028,0.029
outcome,0.051,0.031
region,0.061,0.048
allocated,0.052,0.124
occupied,0.009,0.005
contribution,0.01,0.036
trust,0.031,0.049
arrangement,0.031,0.03
logical,0.012,0.038
elements,0.027,0.019
scheme,0.02,0.061
bounds,0.041,0.072
freedom,0.017,0.019
collect,0.015,0.0
gather,0.072,0.067
talk,0.043,0.026
length,0.018,0.014
pair,0.06,0.036
married,0.018,0.042
live,0.012,0.01
consumption,0.043,0.021
lock,0.035,0.016
engaged,0.005,0.03
vows,0.054,0.054
join,0.015,0.063
allow,0.008,0.007
general,0.022,0.008
secondary,0.022,0.061
school,0.01,0.007
grades,0.009,0.029
9,0.037,0.021
12,0.018,0.024
including,0.012,0.011
American,0.016,0.014
leader,0.021,0.024
car,0.046,0.038
British,0.005,0.01
term,0.033,0.027
monopoly,0.007,0.006
compound,0.039,0.059
cracking,0.048,0.042
interested,0.038,0.042
To,0.103,0.061
emotionally,0.026,0.055
intellectually,0.027,0.031
attached,0.021,0.024
goods,0.025,0.021
rates,0.056,0.049
management,0.011,0.011
remove,0.009,0.014
husk,0.021,0.027
shell,0.06,0.109
fall,0.023,0.031
abstain,0.002,0.004
eating,0.019,0.012
foods,0.041,0.023
hot,0.011,0.013
burning,0.016,0.012
refused,0.058,0.044
cooking,0.021,0.022
kitchen,0.019,0.013
throat,0.063,0.04
degree,0.015,0.009
turn,0.014,0.022
axis,0.03,0.009
spin,0.148,0.313
around,0.029,0.038
center,0.022,0.013
marriage,0.023,0.017
offer,0.036,0.047
Try,0.08,0.027
fear,0.007,0.008
show,0.015,0.024
legal,0.015,0.017
record,0.03,0.029
entering,0.005,0.039
document,0.021,0.024
wither,0.023,0.002
mature,0.049,0.111
imperfectly,0.009,0.004
flower,0.014,0.01
faith,0.011,0.013
bet,0.023,0.028
flames,0.019,0.031
start,0.023,0.028
burn,0.028,0.015
processes,0.056,0.051
remember,0.025,0.017
mechanism,0.033,0.066
water,0.07,0.036
level,0.034,0.023
section,0.047,0.05
enclosure,0.004,0.006
closed,0.042,0.078
raise,0.013,0.013
vessels,0.075,0.066
worry,0.043,0.045
difficult,0.014,0.005
fulfilling,0.017,0.013
desired,0.001,0.011
expectations,0.106,0.099
formed,0.024,0.017
ball,0.044,0.025
hitting,0.02,0.025
golf,0.011,0.011
driver,0.013,0.021
material,0.04,0.019
destroyed,0.038,0.023
throw,0.044,0.016
utter,0.026,0.009
add,0.009,0.006
drinking,0.013,0.005
operate,0.018,0.002
saliva,0.105,0.091
connected,0.032,0.038
musical,0.023,0.015
theme,0.014,0.007
notes,0.069,0.084
original,0.019,0.018
yet,0.011,0.02
style,0.016,0.017
size,0.012,0.008
family,0.02,0.012
demand,0.022,0.025
ask,0.023,0.044
right,0.022,0.022
title,0.021,0.011
rejected,0.02,0.03
reputation,0.027,0.017
rights,0.024,0.029
vote,0.024,0.022
women,0.017,0.029
expand,0.013,0.013
abstract,0.011,0.008
last,0.014,0.01
carried,0.029,0.031
carries,0.005,0.009
understanding,0.033,0.021
principles,0.102,0.136
sex,0.015,0.011
banquet,0.052,0.042
feast,0.005,0.003
slowly,0.044,0.045
drops,0.006,0.009
stream,0.053,0.017
programme,0.049,0.039
write,0.022,0.01
existing,0.032,0.062
law,0.051,0.031
conform,0.005,0.009
electronic,0.01,0.012
memory,0.034,0.023
reference,0.013,0.011
help,0.013,0.032
letters,0.03,0.019
Look,0.045,0.014
look,0.023,0.026
cast,0.017,0.022
rid,0.066,0.066
recover,0.109,0.032
assigned,0.011,0.011
frequency,0.088,0.105
importance,0.02,0.009
each,0.024,0.027
statistics,0.02,0.067
represent,0.025,0.027
round,0.018,0.01
Provide,0.009,0.006
coat,0.031,0.041
batter,0.016,0.014
pitcher,0.009,0.003
financial,0.04,0.029
match,0.032,0.035
shoving,0.009,0.009
drive,0.04,0.034
forcefully,0.009,0.033
intense,0.008,0.009
surprise,0.054,0.053
unpleasant,0.014,0.034
win,0.01,0.012
mentally,0.052,0.029
domestic,0.007,0.027
cat,0.037,0.053
young,0.045,0.07
referring,0.022,0.025
camp,0.038,0.047
popular,0.013,0.014
present,0.03,0.021
long,0.01,0.008
thin,0.032,0.05
implement,0.116,0.139
wood,0.022,0.019
reject,0.008,0.011
formerly,0.034,0.13
held,0.035,0.034
belief,0.015,0.02
formally,0.082,0.085
port,0.037,0.04
imply,0.017,0.018
attach,0.031,0.03
fix,0.018,0.014
assign,0.031,0.026
task,0.029,0.016
constructing,0.127,0.102
primary,0.016,0.015
component,0.026,0.02
chip,0.079,0.133
does,0.005,0.02
data,0.02,0.023
view,0.023,0.027
had,0.005,0.006
voted,0.021,0.028
before,0.006,0.005
reverse,0.037,0.018
define,0.036,0.098
killing,0.032,0.048
organ,0.021,0.015
granting,0.016,0.021
response,0.014,0.013
electric,0.028,0.062
undergo,0.025,0.013
bestowing,0.02,0.038
subjective,0.033,0.009
aspect,0.015,0.005
proposing,0.025,0.033
candidate,0.02,0.013
proposed,0.009,0.018
suitable,0.008,0.007
appointment,0.015,0.016
election,0.01,0.01
hunt,0.029,0.009
shoot,0.032,0.113
layer,0.016,0.015
brick,0.053,0.065
construction,0.13,0.134
waves,0.038,0.044
phenomenon,0.035,0.029
wave,0.047,0.047
examine,0.009,0.031
search,0.034,0.023
custody,0.044,0.055
protection,0.024,0.016
Strike,0.021,0.016
sharply,0.008,0.009
sports,0.021,0.113
plane,0.024,0.021
fly,0.017,0.016
fourth,0.015,0.058
year,0.01,0.013
three,0.005,0.005
months,0.014,0.016
tight,0.014,0.019
restrictive,0.056,0.054
power,0.053,0.049
authority,0.047,0.025
Run,0.027,0.007
moderately,0.009,0.005
swift,0.024,0.0
pace,0.135,0.096
exercise,0.018,0.022
setting,0.01,0.009
intensely,0.029,0.045
store,0.008,0.018
bottle,0.026,0.022
bottles,0.011,0.009
Be,0.013,0.004
sign,0.016,0.022
choosing,0.08,0.061
picking,0.029,0.033
among,0.026,0.011
selecting,0.067,0.089
moving,0.023,0.026
motion,0.029,0.011
stronghold,0.04,0.039
elite,0.019,0.016
characteristic,0.123,0.158
acute,0.071,0.121
stronger,0.019,0.031
fraudulent,0.039,0.014
fruit,0.02,0.018
cooked,0.052,0.024
leading,0.011,0.022
coating,0.029,0.065
applied,0.043,0.059
steady,0.003,0.01
even,0.003,0.004
behave,0.039,0.005
communicate,0.035,0.014
male,0.024,0.011
bee,0.011,0.004
whose,0.004,0.009
queen,0.045,0.042
sole,0.211,0.274
mate,0.029,0.03
boxing,0.017,0.001
wrestling,0.031,0.037
plants,0.014,0.015
criticized,0.025,0.031
along,0.01,0.038
wheeled,0.074,0.16
vehicle,0.014,0.017
resting,0.025,0.036
seat,0.019,0.031
ground,0.142,0.096
coal,0.002,0.007
