word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
render,0.016,0.042,0.065,0.059,0.062,0.061,0.086,0.09,0.052,0.024,0.004,0.077
one,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.007,0.007,0.008,0.013,0.009
language,0.001,0.003,0.005,0.006,0.007,0.007,0.01,0.009,0.007,0.008,0.012,0.01
in,0.005,0.005,0.006,0.006,0.006,0.007,0.009,0.012,0.015,0.015,0.018,0.007
another,0.003,0.005,0.008,0.007,0.008,0.008,0.012,0.013,0.011,0.01,0.012,0.018
rest,0.004,0.004,0.005,0.005,0.007,0.014,0.016,0.017,0.017,0.014,0.017,0.043
##ate,0.002,0.004,0.006,0.007,0.012,0.02,0.021,0.022,0.021,0.018,0.016,0.005
words,0.004,0.006,0.006,0.004,0.004,0.005,0.006,0.009,0.01,0.011,0.019,0.026
from,0.006,0.005,0.005,0.005,0.004,0.006,0.007,0.007,0.009,0.01,0.012,0.005
into,0.006,0.007,0.009,0.011,0.012,0.012,0.013,0.015,0.018,0.023,0.031,0.013
nations,0.004,0.005,0.007,0.009,0.009,0.01,0.016,0.017,0.02,0.017,0.013,0.015
by,0.003,0.003,0.004,0.006,0.006,0.008,0.008,0.009,0.011,0.011,0.014,0.007
shared,0.011,0.015,0.033,0.035,0.049,0.044,0.049,0.051,0.044,0.043,0.053,0.038
interests,0.001,0.004,0.005,0.006,0.007,0.006,0.009,0.009,0.009,0.011,0.012,0.012
history,0.002,0.005,0.007,0.009,0.01,0.01,0.012,0.01,0.009,0.012,0.02,0.016
or,0.005,0.005,0.009,0.014,0.014,0.015,0.015,0.016,0.016,0.016,0.02,0.012
institutions,0.005,0.009,0.02,0.019,0.018,0.015,0.016,0.013,0.01,0.009,0.009,0.014
a,0.004,0.006,0.006,0.009,0.01,0.011,0.015,0.016,0.016,0.014,0.012,0.022
group,0.007,0.017,0.028,0.029,0.025,0.025,0.029,0.03,0.025,0.018,0.013,0.02
of,0.003,0.003,0.003,0.005,0.004,0.007,0.008,0.009,0.01,0.009,0.015,0.005
having,0.005,0.004,0.002,0.002,0.003,0.004,0.005,0.005,0.004,0.005,0.012,0.015
common,0.003,0.004,0.005,0.008,0.009,0.011,0.014,0.016,0.011,0.011,0.017,0.017
convert,0.002,0.002,0.004,0.004,0.007,0.005,0.006,0.006,0.006,0.009,0.017,0.012
absorb,0.0,0.002,0.004,0.004,0.004,0.004,0.003,0.005,0.006,0.006,0.012,0.025
##able,0.005,0.003,0.007,0.008,0.009,0.011,0.014,0.017,0.018,0.016,0.015,0.006
as,0.004,0.005,0.007,0.01,0.012,0.013,0.013,0.012,0.014,0.015,0.021,0.005
if,0.003,0.003,0.002,0.002,0.002,0.003,0.005,0.009,0.009,0.011,0.018,0.023
with,0.004,0.004,0.006,0.007,0.007,0.007,0.008,0.009,0.009,0.01,0.016,0.004
heat,0.002,0.005,0.012,0.02,0.024,0.023,0.029,0.031,0.026,0.019,0.013,0.024
chemical,0.004,0.007,0.008,0.007,0.006,0.007,0.011,0.015,0.01,0.006,0.007,0.043
process,0.002,0.007,0.009,0.009,0.011,0.01,0.013,0.014,0.012,0.011,0.012,0.024
soft,0.005,0.006,0.007,0.005,0.006,0.008,0.008,0.009,0.012,0.016,0.037,0.006
##en,0.003,0.01,0.012,0.017,0.02,0.023,0.025,0.027,0.024,0.02,0.016,0.013
di,0.003,0.003,0.006,0.006,0.006,0.005,0.006,0.006,0.005,0.005,0.009,0.042
##sin,0.001,0.01,0.02,0.042,0.038,0.037,0.046,0.046,0.027,0.017,0.016,0.109
##te,0.001,0.002,0.004,0.009,0.01,0.015,0.021,0.024,0.035,0.047,0.066,0.013
##gra,0.003,0.009,0.019,0.026,0.028,0.035,0.037,0.043,0.039,0.034,0.035,0.021
means,0.002,0.002,0.003,0.004,0.005,0.006,0.006,0.009,0.014,0.015,0.022,0.008
action,0.004,0.007,0.009,0.011,0.01,0.009,0.011,0.011,0.011,0.01,0.014,0.012
adapt,0.011,0.011,0.009,0.01,0.012,0.008,0.015,0.017,0.014,0.009,0.006,0.087
to,0.004,0.002,0.005,0.006,0.006,0.007,0.01,0.011,0.012,0.012,0.016,0.005
an,0.004,0.004,0.005,0.007,0.007,0.008,0.009,0.009,0.009,0.008,0.01,0.025
skill,0.008,0.05,0.085,0.108,0.119,0.106,0.107,0.108,0.07,0.036,0.006,0.157
study,0.003,0.004,0.006,0.01,0.018,0.019,0.025,0.025,0.019,0.017,0.015,0.039
work,0.005,0.006,0.008,0.009,0.01,0.008,0.012,0.013,0.012,0.012,0.014,0.008
ones,0.001,0.004,0.018,0.017,0.021,0.024,0.022,0.023,0.02,0.006,0.009,0.075
##elf,0.003,0.005,0.008,0.008,0.01,0.012,0.016,0.014,0.013,0.005,0.003,0.047
special,0.002,0.005,0.006,0.013,0.017,0.017,0.016,0.015,0.013,0.011,0.012,0.005
area,0.003,0.004,0.006,0.008,0.008,0.009,0.018,0.017,0.017,0.016,0.02,0.019
wooden,0.003,0.007,0.01,0.009,0.009,0.009,0.012,0.011,0.009,0.008,0.014,0.015
porch,0.012,0.016,0.027,0.031,0.037,0.039,0.049,0.039,0.042,0.035,0.084,0.026
house,0.005,0.008,0.01,0.011,0.014,0.014,0.022,0.024,0.021,0.014,0.012,0.014
that,0.003,0.005,0.004,0.007,0.009,0.01,0.011,0.015,0.013,0.01,0.013,0.014
the,0.002,0.002,0.002,0.003,0.003,0.004,0.007,0.008,0.009,0.009,0.013,0.027
deck,0.018,0.056,0.113,0.146,0.179,0.185,0.183,0.164,0.119,0.071,0.026,0.28
on,0.006,0.006,0.008,0.009,0.01,0.009,0.01,0.012,0.014,0.015,0.019,0.005
ship,0.006,0.008,0.011,0.014,0.015,0.017,0.029,0.028,0.025,0.02,0.024,0.028
either,0.007,0.008,0.012,0.014,0.019,0.022,0.024,0.018,0.016,0.013,0.017,0.078
half,0.002,0.004,0.007,0.011,0.01,0.008,0.008,0.007,0.004,0.004,0.01,0.045
arch,0.005,0.015,0.078,0.103,0.11,0.109,0.101,0.093,0.072,0.052,0.051,0.045
##ery,0.001,0.005,0.01,0.016,0.019,0.021,0.027,0.019,0.013,0.007,0.008,0.047
bow,0.003,0.001,0.002,0.007,0.007,0.007,0.01,0.008,0.008,0.007,0.009,0.007
two,0.004,0.004,0.005,0.007,0.006,0.006,0.01,0.012,0.012,0.01,0.012,0.016
handle,0.009,0.02,0.025,0.021,0.021,0.015,0.018,0.015,0.009,0.006,0.012,0.024
re,0.004,0.015,0.034,0.036,0.021,0.012,0.014,0.014,0.013,0.014,0.022,0.026
##mo,0.001,0.002,0.003,0.005,0.005,0.006,0.008,0.008,0.009,0.01,0.019,0.012
device,0.002,0.006,0.007,0.007,0.009,0.01,0.016,0.016,0.013,0.014,0.021,0.011
is,0.006,0.004,0.005,0.008,0.011,0.013,0.021,0.027,0.026,0.02,0.014,0.009
access,0.004,0.018,0.031,0.031,0.029,0.024,0.027,0.024,0.016,0.015,0.016,0.037
##ory,0.008,0.026,0.025,0.038,0.046,0.054,0.055,0.052,0.034,0.014,0.003,0.037
larger,0.001,0.003,0.005,0.006,0.006,0.009,0.009,0.009,0.011,0.011,0.013,0.012
object,0.002,0.006,0.01,0.017,0.023,0.021,0.028,0.032,0.025,0.026,0.033,0.01
supplement,0.007,0.01,0.014,0.019,0.024,0.026,0.028,0.034,0.029,0.026,0.024,0.043
##ary,0.001,0.006,0.012,0.015,0.018,0.03,0.033,0.032,0.024,0.016,0.012,0.026
part,0.003,0.006,0.013,0.015,0.014,0.014,0.014,0.017,0.022,0.028,0.034,0.019
restrict,0.007,0.028,0.054,0.065,0.067,0.05,0.053,0.053,0.041,0.021,0.003,0.061
con,0.002,0.006,0.005,0.004,0.004,0.005,0.006,0.006,0.005,0.007,0.014,0.03
##fine,0.001,0.002,0.003,0.005,0.008,0.011,0.012,0.015,0.018,0.018,0.024,0.005
place,0.004,0.007,0.007,0.007,0.008,0.01,0.011,0.012,0.011,0.012,0.014,0.029
limits,0.001,0.005,0.006,0.005,0.004,0.004,0.004,0.005,0.007,0.009,0.012,0.008
extent,0.002,0.001,0.004,0.006,0.008,0.016,0.017,0.02,0.02,0.018,0.021,0.015
##ient,0.001,0.002,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.01,0.033,0.014
be,0.004,0.005,0.007,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.01,0.024
opposite,0.01,0.019,0.026,0.036,0.042,0.041,0.042,0.051,0.047,0.041,0.032,0.064
Bring,0.005,0.008,0.008,0.01,0.007,0.008,0.009,0.011,0.009,0.008,0.014,0.002
back,0.002,0.003,0.004,0.005,0.006,0.004,0.004,0.004,0.006,0.008,0.015,0.006
life,0.003,0.004,0.006,0.008,0.01,0.012,0.013,0.012,0.012,0.012,0.012,0.008
return,0.002,0.006,0.008,0.007,0.011,0.016,0.017,0.017,0.017,0.013,0.016,0.013
dead,0.003,0.009,0.017,0.021,0.027,0.027,0.029,0.028,0.024,0.021,0.022,0.023
cause,0.004,0.009,0.021,0.023,0.023,0.021,0.024,0.026,0.024,0.021,0.023,0.065
become,0.004,0.006,0.005,0.006,0.006,0.008,0.009,0.01,0.01,0.011,0.014,0.005
alive,0.003,0.005,0.007,0.008,0.007,0.007,0.009,0.01,0.01,0.009,0.006,0.008
again,0.003,0.005,0.007,0.008,0.01,0.011,0.015,0.014,0.012,0.01,0.015,0.028
anything,0.006,0.005,0.005,0.005,0.007,0.006,0.01,0.009,0.008,0.007,0.012,0.028
ill,0.003,0.007,0.024,0.032,0.031,0.032,0.044,0.043,0.035,0.022,0.022,0.038
##us,0.002,0.002,0.007,0.009,0.008,0.007,0.008,0.013,0.025,0.038,0.058,0.009
not,0.002,0.003,0.006,0.012,0.015,0.024,0.028,0.027,0.033,0.029,0.029,0.007
concrete,0.003,0.005,0.007,0.009,0.009,0.008,0.01,0.011,0.011,0.011,0.015,0.008
real,0.002,0.009,0.01,0.013,0.014,0.013,0.012,0.011,0.01,0.01,0.022,0.009
something,0.004,0.008,0.009,0.01,0.012,0.011,0.016,0.015,0.016,0.014,0.014,0.021
no,0.003,0.006,0.01,0.017,0.019,0.024,0.028,0.026,0.025,0.022,0.023,0.018
substance,0.002,0.004,0.005,0.008,0.01,0.013,0.022,0.023,0.025,0.024,0.028,0.01
name,0.003,0.004,0.007,0.007,0.006,0.007,0.014,0.018,0.018,0.017,0.015,0.008
trait,0.006,0.004,0.009,0.012,0.014,0.015,0.014,0.019,0.023,0.022,0.017,0.002
product,0.002,0.005,0.009,0.012,0.011,0.009,0.016,0.018,0.016,0.012,0.015,0.02
type,0.005,0.005,0.006,0.008,0.009,0.009,0.008,0.008,0.007,0.009,0.015,0.011
thing,0.003,0.005,0.008,0.009,0.009,0.011,0.013,0.015,0.016,0.014,0.014,0.013
given,0.003,0.004,0.007,0.011,0.012,0.013,0.013,0.015,0.012,0.01,0.015,0.016
service,0.003,0.008,0.009,0.009,0.008,0.008,0.009,0.009,0.009,0.009,0.013,0.004
processing,0.004,0.004,0.007,0.015,0.016,0.014,0.022,0.016,0.011,0.012,0.024,0.021
operation,0.003,0.008,0.009,0.008,0.008,0.006,0.008,0.008,0.008,0.009,0.013,0.007
set,0.003,0.003,0.004,0.004,0.005,0.006,0.004,0.003,0.004,0.005,0.008,0.004
sequence,0.006,0.005,0.008,0.008,0.01,0.009,0.008,0.008,0.006,0.005,0.002,0.013
steps,0.005,0.009,0.017,0.023,0.026,0.021,0.03,0.028,0.02,0.021,0.033,0.023
computer,0.002,0.003,0.003,0.004,0.004,0.004,0.006,0.007,0.006,0.006,0.013,0.01
program,0.004,0.006,0.005,0.006,0.006,0.006,0.009,0.008,0.01,0.01,0.015,0.006
line,0.003,0.004,0.004,0.005,0.006,0.007,0.012,0.012,0.013,0.014,0.019,0.01
cover,0.002,0.005,0.008,0.01,0.011,0.01,0.012,0.01,0.011,0.012,0.019,0.005
front,0.004,0.019,0.057,0.073,0.075,0.068,0.052,0.045,0.034,0.024,0.019,0.051
surface,0.003,0.005,0.005,0.006,0.008,0.01,0.013,0.014,0.014,0.015,0.022,0.01
determine,0.004,0.004,0.003,0.003,0.002,0.004,0.006,0.01,0.01,0.011,0.017,0.036
standard,0.003,0.003,0.004,0.005,0.004,0.005,0.005,0.005,0.005,0.006,0.009,0.011
estimate,0.0,0.002,0.002,0.002,0.001,0.0,0.0,0.001,0.0,0.001,0.008,0.008
capacity,0.001,0.003,0.006,0.009,0.009,0.005,0.009,0.011,0.015,0.02,0.035,0.008
measurement,0.002,0.005,0.006,0.008,0.009,0.009,0.01,0.011,0.012,0.013,0.008,0.009
value,0.005,0.02,0.026,0.025,0.027,0.022,0.025,0.024,0.02,0.015,0.009,0.051
interpretation,0.002,0.004,0.003,0.004,0.004,0.006,0.006,0.006,0.004,0.003,0.008,0.009
account,0.002,0.006,0.008,0.012,0.013,0.013,0.013,0.013,0.013,0.016,0.018,0.014
reading,0.01,0.024,0.03,0.034,0.039,0.039,0.041,0.04,0.029,0.016,0.006,0.035
event,0.003,0.006,0.007,0.005,0.006,0.006,0.011,0.011,0.011,0.011,0.014,0.014
situation,0.002,0.004,0.005,0.008,0.008,0.007,0.01,0.01,0.013,0.009,0.009,0.005
mental,0.003,0.002,0.003,0.008,0.012,0.012,0.013,0.014,0.014,0.011,0.017,0.005
representation,0.003,0.005,0.009,0.013,0.011,0.006,0.006,0.005,0.004,0.003,0.004,0.01
meaning,0.001,0.004,0.011,0.012,0.013,0.013,0.018,0.015,0.012,0.012,0.012,0.014
significance,0.008,0.016,0.023,0.028,0.029,0.03,0.044,0.044,0.054,0.073,0.093,0.006
f,0.003,0.004,0.007,0.01,0.011,0.008,0.008,0.008,0.008,0.009,0.016,0.04
social,0.004,0.005,0.007,0.008,0.011,0.011,0.013,0.013,0.013,0.01,0.01,0.016
occasion,0.001,0.0,0.001,0.001,0.003,0.005,0.014,0.013,0.016,0.016,0.01,0.008
which,0.003,0.004,0.003,0.004,0.004,0.006,0.008,0.007,0.007,0.007,0.011,0.006
people,0.004,0.005,0.004,0.006,0.006,0.008,0.01,0.011,0.011,0.009,0.011,0.018
can,0.003,0.003,0.005,0.008,0.007,0.009,0.01,0.011,0.011,0.01,0.017,0.006
for,0.004,0.005,0.004,0.005,0.005,0.006,0.007,0.008,0.011,0.012,0.016,0.005
and,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.008,0.009,0.014,0.008
entertainment,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.006,0.023,0.006
Make,0.009,0.009,0.01,0.01,0.009,0.014,0.025,0.039,0.037,0.032,0.028,0.272
fine,0.008,0.019,0.03,0.036,0.043,0.039,0.035,0.034,0.029,0.019,0.018,0.027
optimal,0.003,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.009,0.017,0.013
adjust,0.005,0.008,0.005,0.006,0.006,0.002,0.003,0.003,0.005,0.006,0.016,0.013
certain,0.002,0.006,0.012,0.018,0.025,0.028,0.037,0.04,0.032,0.022,0.016,0.023
scale,0.001,0.004,0.014,0.019,0.018,0.018,0.022,0.025,0.02,0.018,0.019,0.008
make,0.002,0.003,0.005,0.008,0.008,0.01,0.013,0.017,0.016,0.014,0.016,0.012
divide,0.006,0.018,0.023,0.025,0.027,0.02,0.021,0.021,0.018,0.021,0.04,0.009
marked,0.002,0.011,0.017,0.011,0.01,0.008,0.008,0.008,0.007,0.006,0.01,0.007
measuring,0.0,0.004,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.004,0.014
short,0.001,0.004,0.007,0.012,0.01,0.019,0.024,0.024,0.027,0.029,0.037,0.007
intended,0.002,0.001,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.005,0.005,0.007
song,0.001,0.002,0.002,0.002,0.002,0.003,0.005,0.005,0.005,0.003,0.005,0.013
w,0.002,0.002,0.005,0.006,0.006,0.005,0.006,0.006,0.008,0.013,0.025,0.026
##ield,0.001,0.004,0.004,0.006,0.006,0.001,0.001,0.002,0.007,0.012,0.024,0.007
manipulate,0.001,0.011,0.014,0.013,0.01,0.006,0.006,0.005,0.002,0.003,0.011,0.004
entity,0.001,0.003,0.003,0.003,0.003,0.003,0.006,0.006,0.008,0.008,0.012,0.016
employ,0.0,0.002,0.004,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.006,0.002
employed,0.007,0.008,0.007,0.015,0.02,0.024,0.029,0.036,0.028,0.022,0.005,0.005
position,0.004,0.005,0.004,0.004,0.003,0.002,0.004,0.004,0.005,0.005,0.008,0.005
appoint,0.002,0.008,0.002,0.002,0.002,0.004,0.003,0.002,0.002,0.002,0.009,0.037
someone,0.007,0.012,0.017,0.015,0.015,0.014,0.02,0.018,0.015,0.01,0.011,0.073
job,0.001,0.003,0.007,0.011,0.01,0.006,0.008,0.009,0.011,0.013,0.021,0.011
defined,0.002,0.004,0.008,0.01,0.007,0.005,0.007,0.006,0.006,0.007,0.013,0.018
specific,0.002,0.003,0.008,0.009,0.01,0.011,0.015,0.019,0.014,0.01,0.011,0.028
organization,0.002,0.003,0.004,0.004,0.005,0.008,0.014,0.014,0.012,0.011,0.013,0.028
associated,0.004,0.011,0.017,0.027,0.021,0.024,0.027,0.021,0.015,0.014,0.018,0.008
personnel,0.005,0.01,0.011,0.005,0.004,0.004,0.009,0.007,0.007,0.006,0.015,0.006
especially,0.002,0.003,0.003,0.003,0.004,0.006,0.007,0.01,0.008,0.005,0.005,0.017
storage,0.011,0.014,0.018,0.018,0.023,0.02,0.024,0.021,0.014,0.008,0.003,0.018
cabinet,0.012,0.021,0.038,0.036,0.039,0.026,0.026,0.024,0.02,0.017,0.025,0.011
furniture,0.003,0.007,0.011,0.012,0.011,0.008,0.007,0.006,0.006,0.006,0.01,0.018
office,0.003,0.003,0.004,0.01,0.011,0.014,0.017,0.019,0.019,0.018,0.028,0.013
consisting,0.008,0.008,0.014,0.009,0.006,0.005,0.006,0.009,0.012,0.009,0.002,0.007
container,0.005,0.006,0.009,0.015,0.019,0.02,0.031,0.028,0.023,0.013,0.014,0.016
keeping,0.002,0.005,0.007,0.012,0.013,0.01,0.015,0.014,0.01,0.004,0.005,0.041
papers,0.004,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.005,0.003,0.005,0.008
order,0.003,0.011,0.027,0.049,0.05,0.044,0.041,0.046,0.029,0.017,0.009,0.067
approval,0.001,0.002,0.004,0.005,0.008,0.013,0.03,0.025,0.02,0.02,0.041,0.018
interest,0.002,0.003,0.002,0.003,0.005,0.009,0.013,0.017,0.02,0.021,0.036,0.006
##ing,0.003,0.003,0.003,0.005,0.006,0.009,0.01,0.012,0.012,0.01,0.01,0.016
briefly,0.003,0.002,0.002,0.002,0.001,0.001,0.002,0.004,0.005,0.004,0.01,0.006
shut,0.001,0.015,0.022,0.023,0.022,0.017,0.022,0.022,0.018,0.013,0.015,0.033
eye,0.002,0.005,0.008,0.01,0.013,0.018,0.023,0.024,0.025,0.017,0.013,0.039
signal,0.012,0.027,0.036,0.033,0.033,0.03,0.039,0.039,0.026,0.023,0.028,0.022
capital,0.004,0.005,0.006,0.006,0.008,0.007,0.007,0.007,0.004,0.005,0.023,0.028
stock,0.003,0.008,0.015,0.025,0.023,0.022,0.024,0.03,0.023,0.015,0.012,0.023
any,0.005,0.004,0.005,0.006,0.007,0.008,0.01,0.012,0.012,0.015,0.026,0.035
equal,0.003,0.005,0.011,0.02,0.022,0.02,0.026,0.028,0.022,0.01,0.009,0.018
portions,0.009,0.006,0.003,0.003,0.006,0.008,0.007,0.009,0.009,0.007,0.003,0.007
divided,0.003,0.005,0.009,0.011,0.012,0.012,0.015,0.013,0.009,0.005,0.006,0.03
prove,0.01,0.023,0.024,0.033,0.038,0.034,0.037,0.036,0.028,0.021,0.022,0.076
co,0.002,0.003,0.007,0.012,0.009,0.011,0.013,0.012,0.01,0.009,0.014,0.029
##bor,0.001,0.007,0.004,0.006,0.009,0.009,0.009,0.011,0.015,0.013,0.013,0.009
establish,0.003,0.008,0.007,0.007,0.004,0.004,0.005,0.004,0.004,0.005,0.008,0.035
strengthen,0.004,0.006,0.006,0.004,0.003,0.002,0.002,0.005,0.005,0.004,0.006,0.005
new,0.003,0.003,0.004,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.009,0.013
evidence,0.002,0.004,0.005,0.005,0.004,0.002,0.002,0.002,0.003,0.003,0.004,0.007
facts,0.005,0.03,0.049,0.044,0.04,0.041,0.056,0.055,0.047,0.043,0.039,0.044
content,0.003,0.013,0.013,0.019,0.02,0.018,0.023,0.02,0.019,0.02,0.022,0.025
communication,0.008,0.012,0.013,0.011,0.012,0.011,0.015,0.014,0.014,0.016,0.021,0.006
usually,0.002,0.004,0.004,0.006,0.005,0.006,0.006,0.007,0.007,0.009,0.013,0.025
brief,0.001,0.005,0.011,0.018,0.025,0.03,0.031,0.034,0.025,0.019,0.021,0.011
written,0.002,0.005,0.01,0.011,0.009,0.009,0.01,0.009,0.011,0.011,0.012,0.014
spoken,0.003,0.006,0.012,0.014,0.014,0.012,0.012,0.012,0.011,0.008,0.012,0.004
den,0.002,0.004,0.024,0.039,0.044,0.043,0.043,0.04,0.032,0.026,0.017,0.093
##ture,0.001,0.002,0.002,0.004,0.006,0.005,0.006,0.006,0.006,0.009,0.019,0.005
teeth,0.002,0.006,0.022,0.029,0.03,0.032,0.036,0.037,0.028,0.017,0.004,0.051
side,0.004,0.008,0.01,0.007,0.007,0.006,0.006,0.005,0.007,0.008,0.012,0.008
missing,0.002,0.004,0.007,0.013,0.013,0.012,0.014,0.015,0.017,0.016,0.021,0.01
move,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.013,0.013,0.011,0.015,0.007
lower,0.004,0.006,0.009,0.009,0.011,0.011,0.013,0.012,0.012,0.012,0.019,0.01
association,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.005,0.01,0.025,0.009
flow,0.004,0.006,0.003,0.004,0.003,0.004,0.006,0.006,0.005,0.005,0.012,0.024
liquid,0.002,0.009,0.013,0.015,0.017,0.015,0.021,0.02,0.016,0.013,0.016,0.022
##s,0.002,0.004,0.006,0.01,0.01,0.01,0.013,0.017,0.021,0.024,0.028,0.009
reduce,0.008,0.015,0.022,0.014,0.016,0.013,0.015,0.017,0.014,0.01,0.007,0.125
reduced,0.021,0.036,0.041,0.039,0.038,0.04,0.048,0.051,0.046,0.041,0.025,0.064
solid,0.001,0.004,0.008,0.011,0.008,0.009,0.011,0.01,0.009,0.008,0.01,0.008
state,0.003,0.007,0.013,0.014,0.016,0.015,0.015,0.014,0.011,0.012,0.021,0.011
heating,0.002,0.004,0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.002,0.003,0.001
ins,0.002,0.005,0.013,0.015,0.015,0.021,0.027,0.026,0.021,0.012,0.007,0.032
##ulate,0.003,0.001,0.0,0.001,0.001,0.002,0.007,0.008,0.011,0.008,0.009,0.014
protect,0.002,0.004,0.003,0.006,0.008,0.006,0.009,0.006,0.005,0.004,0.012,0.011
treat,0.001,0.006,0.009,0.007,0.007,0.007,0.007,0.006,0.004,0.003,0.008,0.013
body,0.003,0.004,0.007,0.006,0.006,0.006,0.005,0.006,0.007,0.007,0.008,0.012
it,0.004,0.003,0.005,0.004,0.004,0.005,0.008,0.008,0.009,0.008,0.01,0.02
applying,0.001,0.003,0.003,0.005,0.007,0.005,0.005,0.008,0.005,0.006,0.007,0.008
com,0.003,0.003,0.009,0.016,0.018,0.018,0.021,0.021,0.02,0.015,0.018,0.048
##press,0.001,0.0,0.0,0.001,0.001,0.001,0.002,0.005,0.013,0.043,0.1,0.086
##es,0.002,0.004,0.004,0.006,0.006,0.007,0.01,0.012,0.013,0.014,0.018,0.007
stuff,0.004,0.01,0.02,0.021,0.025,0.019,0.025,0.024,0.021,0.015,0.01,0.005
provide,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.013,0.003
contain,0.011,0.017,0.018,0.026,0.03,0.035,0.048,0.052,0.037,0.029,0.019,0.09
##ment,0.001,0.004,0.007,0.009,0.013,0.012,0.014,0.015,0.015,0.008,0.007,0.012
therapy,0.002,0.007,0.014,0.028,0.039,0.031,0.041,0.032,0.025,0.017,0.022,0.033
blood,0.002,0.006,0.016,0.021,0.018,0.02,0.025,0.036,0.034,0.02,0.005,0.048
scar,0.009,0.02,0.037,0.035,0.039,0.031,0.03,0.023,0.018,0.016,0.011,0.036
physically,0.003,0.009,0.015,0.015,0.021,0.017,0.016,0.018,0.011,0.005,0.005,0.032
create,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.01,0.025
mark,0.003,0.005,0.007,0.006,0.006,0.006,0.01,0.011,0.011,0.01,0.009,0.013
under,0.001,0.002,0.004,0.006,0.007,0.009,0.007,0.009,0.01,0.013,0.022,0.004
##sco,0.008,0.02,0.049,0.056,0.063,0.072,0.073,0.085,0.077,0.062,0.057,0.1
##ring,0.001,0.003,0.005,0.006,0.006,0.008,0.013,0.018,0.023,0.027,0.035,0.01
marks,0.001,0.003,0.005,0.004,0.002,0.003,0.001,0.002,0.002,0.002,0.003,0.009
Sur,0.002,0.002,0.009,0.01,0.006,0.004,0.003,0.004,0.005,0.005,0.019,0.089
##rou,0.003,0.003,0.009,0.017,0.029,0.038,0.043,0.047,0.039,0.032,0.037,0.063
##nd,0.003,0.005,0.007,0.01,0.014,0.016,0.021,0.025,0.023,0.022,0.022,0.025
completely,0.003,0.009,0.009,0.014,0.013,0.012,0.016,0.015,0.017,0.015,0.013,0.029
close,0.002,0.002,0.003,0.005,0.006,0.007,0.007,0.009,0.009,0.009,0.015,0.008
covering,0.005,0.006,0.006,0.006,0.009,0.006,0.01,0.012,0.014,0.014,0.014,0.017
border,0.002,0.005,0.008,0.008,0.009,0.006,0.007,0.005,0.004,0.004,0.018,0.008
act,0.007,0.018,0.029,0.045,0.061,0.065,0.079,0.077,0.06,0.049,0.033,0.064
ending,0.003,0.004,0.007,0.009,0.01,0.01,0.014,0.019,0.022,0.028,0.043,0.014
end,0.003,0.007,0.006,0.008,0.008,0.006,0.006,0.005,0.006,0.008,0.013,0.007
word,0.001,0.004,0.008,0.014,0.016,0.012,0.009,0.009,0.013,0.016,0.015,0.004
suffix,0.009,0.016,0.011,0.007,0.017,0.039,0.042,0.046,0.038,0.035,0.039,0.032
final,0.004,0.013,0.016,0.028,0.021,0.018,0.022,0.02,0.019,0.017,0.022,0.008
m,0.005,0.013,0.017,0.012,0.007,0.004,0.005,0.004,0.004,0.012,0.03,0.085
##or,0.007,0.007,0.019,0.031,0.034,0.039,0.051,0.058,0.052,0.049,0.045,0.021
##me,0.001,0.006,0.011,0.013,0.019,0.016,0.016,0.013,0.008,0.005,0.007,0.061
price,0.002,0.004,0.009,0.01,0.01,0.012,0.011,0.014,0.013,0.009,0.011,0.011
good,0.002,0.007,0.011,0.015,0.015,0.015,0.016,0.015,0.012,0.011,0.019,0.013
assertion,0.003,0.002,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003
guilty,0.002,0.015,0.023,0.023,0.026,0.031,0.038,0.036,0.03,0.022,0.022,0.051
fault,0.006,0.006,0.009,0.012,0.019,0.018,0.02,0.022,0.016,0.011,0.005,0.037
art,0.004,0.004,0.002,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.023
model,0.007,0.012,0.018,0.025,0.027,0.02,0.023,0.023,0.019,0.016,0.009,0.034
image,0.004,0.005,0.004,0.006,0.005,0.004,0.007,0.01,0.01,0.009,0.014,0.011
like,0.004,0.009,0.015,0.013,0.013,0.019,0.032,0.031,0.015,0.008,0.012,0.04
