word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
oriented,0.008,0.029,0.043,0.056,0.06,0.055,0.063,0.069,0.063,0.043,0.011,0.132
organising,0.044,0.063,0.076,0.069,0.066,0.057,0.068,0.077,0.076,0.089,0.083,0.114
##bla,0.001,0.001,0.002,0.003,0.003,0.002,0.002,0.003,0.004,0.006,0.01,0.012
double,0.017,0.043,0.052,0.069,0.07,0.086,0.102,0.115,0.089,0.058,0.028,0.074
elimination,0.025,0.031,0.048,0.066,0.078,0.094,0.114,0.116,0.106,0.12,0.145,0.02
arrives,0.002,0.004,0.002,0.003,0.003,0.005,0.004,0.005,0.004,0.002,0.021,0.012
drag,0.006,0.011,0.013,0.019,0.018,0.017,0.016,0.015,0.013,0.016,0.028,0.01
damages,0.003,0.011,0.02,0.023,0.031,0.035,0.06,0.075,0.057,0.036,0.008,0.138
##lm,0.0,0.01,0.027,0.026,0.034,0.034,0.051,0.051,0.037,0.037,0.04,0.009
gang,0.002,0.005,0.017,0.013,0.014,0.018,0.018,0.024,0.023,0.022,0.019,0.028
extraordinary,0.006,0.021,0.03,0.04,0.039,0.035,0.033,0.03,0.019,0.011,0.01,0.069
commit,0.017,0.074,0.109,0.088,0.076,0.078,0.083,0.088,0.078,0.061,0.024,0.138
everybody,0.026,0.021,0.042,0.057,0.057,0.06,0.069,0.07,0.063,0.072,0.132,0.066
stroke,0.002,0.002,0.004,0.005,0.012,0.018,0.016,0.019,0.027,0.053,0.116,0.021
LA,0.002,0.003,0.007,0.009,0.011,0.012,0.012,0.018,0.023,0.022,0.031,0.004
scientists,0.001,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.004,0.031,0.011
Prison,0.001,0.002,0.002,0.002,0.003,0.003,0.007,0.007,0.007,0.005,0.007,0.009
##can,0.001,0.002,0.004,0.009,0.012,0.02,0.019,0.022,0.026,0.03,0.043,0.004
confusion,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.015,0.003
Named,0.003,0.007,0.008,0.01,0.01,0.012,0.014,0.013,0.012,0.009,0.025,0.112
Rome,0.003,0.003,0.005,0.013,0.019,0.024,0.024,0.027,0.021,0.011,0.003,0.019
convention,0.0,0.002,0.002,0.004,0.004,0.006,0.01,0.016,0.015,0.01,0.014,0.025
respect,0.001,0.004,0.006,0.008,0.006,0.005,0.006,0.006,0.007,0.011,0.022,0.009
Dar,0.001,0.015,0.041,0.04,0.031,0.022,0.019,0.021,0.015,0.008,0.013,0.028
dirty,0.002,0.005,0.003,0.003,0.004,0.006,0.007,0.01,0.009,0.005,0.004,0.023
##roper,0.009,0.013,0.016,0.016,0.022,0.019,0.017,0.023,0.025,0.033,0.104,0.029
Conner,0.001,0.001,0.004,0.009,0.015,0.02,0.029,0.025,0.016,0.011,0.006,0.066
Cap,0.001,0.002,0.017,0.017,0.018,0.015,0.018,0.015,0.01,0.002,0.009,0.028
glove,0.004,0.021,0.054,0.055,0.069,0.065,0.059,0.05,0.035,0.022,0.011,0.189
Parents,0.004,0.017,0.028,0.033,0.027,0.027,0.034,0.033,0.025,0.014,0.009,0.167
quit,0.007,0.02,0.037,0.034,0.035,0.028,0.028,0.03,0.029,0.035,0.046,0.062
x,0.006,0.008,0.009,0.007,0.007,0.006,0.009,0.005,0.005,0.007,0.015,0.011
##86,0.021,0.033,0.071,0.073,0.068,0.08,0.091,0.113,0.112,0.124,0.144,0.065
##ppe,0.001,0.01,0.029,0.051,0.072,0.075,0.079,0.078,0.051,0.034,0.015,0.24
outline,0.006,0.027,0.035,0.042,0.053,0.055,0.054,0.047,0.034,0.02,0.02,0.032
##sat,0.009,0.026,0.067,0.089,0.112,0.151,0.152,0.147,0.098,0.068,0.026,0.181
sustainable,0.011,0.023,0.059,0.052,0.045,0.034,0.037,0.047,0.041,0.053,0.116,0.019
shown,0.002,0.004,0.006,0.005,0.008,0.005,0.006,0.003,0.002,0.007,0.015,0.029
trafficking,0.001,0.002,0.005,0.006,0.008,0.009,0.013,0.014,0.01,0.008,0.014,0.005
mostly,0.004,0.005,0.003,0.004,0.004,0.005,0.007,0.009,0.01,0.004,0.003,0.012
Rebel,0.005,0.005,0.005,0.004,0.002,0.0,0.001,0.0,0.0,0.002,0.018,0.006
Niger,0.0,0.003,0.004,0.003,0.002,0.003,0.005,0.003,0.003,0.003,0.013,0.007
dos,0.02,0.043,0.055,0.076,0.089,0.114,0.111,0.118,0.104,0.09,0.053,0.141
##sie,0.009,0.034,0.09,0.133,0.151,0.166,0.169,0.161,0.122,0.089,0.053,0.157
Not,0.002,0.003,0.003,0.005,0.006,0.006,0.007,0.007,0.008,0.01,0.022,0.007
Ji,0.002,0.003,0.004,0.006,0.004,0.005,0.005,0.006,0.009,0.006,0.019,0.008
Desert,0.001,0.002,0.006,0.005,0.005,0.004,0.006,0.004,0.001,0.0,0.004,0.015
parked,0.002,0.003,0.005,0.007,0.006,0.007,0.009,0.01,0.01,0.007,0.006,0.015
##tat,0.001,0.003,0.006,0.006,0.007,0.007,0.008,0.011,0.014,0.023,0.038,0.013
How,0.016,0.012,0.018,0.028,0.035,0.033,0.034,0.037,0.033,0.028,0.028,0.061
retain,0.001,0.002,0.002,0.002,0.004,0.007,0.005,0.006,0.005,0.004,0.004,0.002
Semi,0.001,0.004,0.005,0.008,0.013,0.014,0.015,0.014,0.014,0.015,0.044,0.317
offset,0.024,0.042,0.053,0.072,0.077,0.102,0.103,0.079,0.053,0.036,0.014,0.067
Trans,0.006,0.004,0.003,0.004,0.005,0.005,0.006,0.007,0.004,0.001,0.015,0.193
shelf,0.001,0.015,0.022,0.025,0.041,0.04,0.036,0.031,0.022,0.024,0.015,0.062
##pol,0.0,0.001,0.003,0.004,0.007,0.011,0.014,0.019,0.019,0.03,0.048,0.027
German,0.001,0.002,0.003,0.005,0.01,0.012,0.014,0.016,0.013,0.007,0.019,0.009
Nazi,0.001,0.002,0.008,0.008,0.01,0.011,0.011,0.017,0.012,0.005,0.015,0.035
concentration,0.009,0.048,0.085,0.097,0.125,0.11,0.106,0.096,0.052,0.023,0.006,0.095
remarks,0.001,0.004,0.011,0.008,0.01,0.013,0.014,0.017,0.013,0.012,0.013,0.03
##vio,0.004,0.009,0.018,0.046,0.058,0.062,0.078,0.063,0.042,0.036,0.036,0.061
Up,0.003,0.006,0.009,0.009,0.009,0.01,0.012,0.009,0.008,0.008,0.012,0.022
##date,0.002,0.01,0.019,0.022,0.023,0.019,0.026,0.024,0.013,0.009,0.003,0.026
##ages,0.003,0.018,0.031,0.039,0.039,0.037,0.042,0.042,0.032,0.018,0.003,0.03
update,0.005,0.002,0.007,0.009,0.01,0.01,0.008,0.007,0.005,0.003,0.008,0.03
##UR,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.004,0.02
deployment,0.0,0.003,0.005,0.015,0.019,0.013,0.012,0.008,0.004,0.0,0.012,0.017
refer,0.005,0.01,0.011,0.013,0.016,0.019,0.019,0.019,0.017,0.018,0.02,0.031
ease,0.002,0.006,0.019,0.029,0.037,0.035,0.039,0.036,0.03,0.031,0.033,0.015
engineering,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.005,0.008,0.002
strategy,0.0,0.003,0.006,0.004,0.004,0.004,0.014,0.006,0.005,0.008,0.028,0.002
creation,0.004,0.022,0.037,0.036,0.027,0.032,0.04,0.04,0.039,0.037,0.019,0.065
technical,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.01,0.007
bankruptcy,0.001,0.037,0.034,0.021,0.021,0.016,0.018,0.012,0.009,0.005,0.002,0.022
Hot,0.002,0.006,0.007,0.009,0.008,0.012,0.013,0.014,0.013,0.018,0.041,0.008
##end,0.001,0.009,0.017,0.032,0.034,0.053,0.068,0.088,0.087,0.092,0.09,0.031
simultaneously,0.035,0.051,0.063,0.065,0.061,0.067,0.084,0.086,0.066,0.051,0.022,0.065
3rd,0.001,0.004,0.005,0.005,0.007,0.01,0.019,0.016,0.007,0.004,0.019,0.059
Combat,0.007,0.008,0.005,0.013,0.011,0.011,0.015,0.015,0.02,0.023,0.014,0.005
Team,0.006,0.005,0.003,0.007,0.01,0.009,0.011,0.014,0.01,0.008,0.005,0.028
cannot,0.001,0.002,0.002,0.001,0.001,0.002,0.004,0.008,0.012,0.011,0.009,0.011
orders,0.003,0.008,0.011,0.018,0.021,0.02,0.021,0.026,0.024,0.017,0.01,0.014
##lad,0.002,0.025,0.072,0.097,0.133,0.147,0.162,0.171,0.14,0.092,0.038,0.133
##ifer,0.003,0.014,0.029,0.046,0.053,0.055,0.062,0.068,0.073,0.062,0.028,0.016
##los,0.006,0.033,0.078,0.104,0.146,0.162,0.164,0.154,0.139,0.123,0.087,0.168
minimum,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.016,0.005
deep,0.005,0.015,0.02,0.021,0.014,0.014,0.012,0.014,0.013,0.006,0.006,0.014
hay,0.001,0.012,0.03,0.026,0.021,0.021,0.036,0.031,0.033,0.03,0.048,0.017
glasses,0.003,0.002,0.003,0.006,0.005,0.005,0.005,0.006,0.005,0.003,0.003,0.009
dive,0.002,0.003,0.004,0.003,0.002,0.004,0.004,0.005,0.005,0.007,0.018,0.01
diving,0.005,0.008,0.009,0.008,0.008,0.011,0.014,0.017,0.021,0.027,0.054,0.015
leak,0.002,0.008,0.013,0.015,0.019,0.024,0.033,0.028,0.027,0.025,0.042,0.013
