word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
incorporating,0.045,0.002,0.0,0.024,0.067,0.126,0.186,0.21,0.199,0.177,0.183,0.299
militate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
merits,0.076,0.001,0.037,0.007,0.005,0.012,0.003,0.005,0.002,0.002,0.008,0.649
contradiction,0.062,0.005,0.001,0.002,0.029,0.008,0.007,0.06,0.044,0.023,0.006,0.698
odds,0.119,0.04,0.054,0.027,0.03,0.036,0.034,0.024,0.021,0.02,0.059,0.799
Worst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
comforting,0.029,0.019,0.067,0.068,0.099,0.03,0.13,0.104,0.076,0.06,0.039,0.29
Auditors,0.058,0.002,0.019,0.001,0.008,0.036,0.007,0.003,0.004,0.012,0.126,0.574
chapter,0.003,0.018,0.038,0.011,0.009,0.021,0.019,0.034,0.028,0.023,0.035,0.736
shameful,0.021,0.005,0.0,0.01,0.083,0.044,0.045,0.037,0.069,0.091,0.089,0.263
modernised,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
practice,0.027,0.018,0.011,0.003,0.005,0.003,0.005,0.018,0.016,0.009,0.019,0.756
disgrace,0.002,0.0,0.004,0.0,0.032,0.001,0.003,0.002,0.006,0.009,0.038,0.516
modernisation,0.023,0.003,0.044,0.072,0.098,0.07,0.08,0.06,0.047,0.042,0.03,0.829
Slovakia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
condemned,0.098,0.103,0.164,0.17,0.139,0.087,0.108,0.11,0.097,0.1,0.163,0.302
Czech,0.048,0.026,0.019,0.014,0.021,0.022,0.02,0.019,0.023,0.016,0.059,0.732
wishes,0.03,0.007,0.004,0.011,0.013,0.03,0.025,0.03,0.055,0.072,0.135,0.355
arrangements,0.047,0.029,0.008,0.011,0.048,0.056,0.064,0.088,0.147,0.086,0.037,0.854
Preparatory,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
registration,0.002,0.003,0.001,0.014,0.005,0.007,0.017,0.009,0.011,0.015,0.047,0.109
preparatory,0.028,0.005,0.011,0.009,0.004,0.028,0.024,0.02,0.013,0.015,0.024,0.696
Session,0.014,0.001,0.002,0.0,0.003,0.006,0.027,0.009,0.055,0.068,0.03,0.754
provisions,0.036,0.005,0.003,0.009,0.011,0.028,0.029,0.015,0.018,0.009,0.021,0.221
accreditation,0.025,0.008,0.012,0.011,0.034,0.029,0.021,0.024,0.008,0.037,0.06,0.732
destined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tabled,0.011,0.01,0.018,0.028,0.021,0.005,0.004,0.002,0.017,0.025,0.074,0.812
dependent,0.046,0.011,0.009,0.016,0.014,0.028,0.014,0.033,0.044,0.031,0.039,0.809
Affairs,0.033,0.018,0.031,0.028,0.012,0.01,0.04,0.035,0.017,0.017,0.017,0.543
rightly,0.001,0.001,0.025,0.009,0.01,0.021,0.005,0.003,0.004,0.017,0.161,0.575
insists,0.008,0.003,0.009,0.004,0.024,0.004,0.016,0.031,0.066,0.068,0.198,0.612
refusal,0.018,0.01,0.016,0.002,0.002,0.012,0.003,0.006,0.003,0.001,0.02,0.643
prohibited,0.092,0.038,0.072,0.065,0.037,0.005,0.015,0.041,0.036,0.073,0.175,0.471
accordance,0.029,0.002,0.007,0.005,0.008,0.002,0.007,0.006,0.006,0.025,0.105,0.523
listened,0.011,0.007,0.01,0.007,0.025,0.002,0.01,0.014,0.022,0.024,0.057,0.694
Exchequer,0.069,0.011,0.007,0.012,0.008,0.015,0.017,0.003,0.013,0.004,0.022,0.747
portrayed,0.019,0.007,0.002,0.004,0.001,0.001,0.0,0.0,0.001,0.019,0.102,0.812
lorry,0.008,0.004,0.01,0.009,0.035,0.006,0.012,0.006,0.027,0.027,0.035,0.733
drivers,0.043,0.019,0.013,0.019,0.01,0.012,0.025,0.029,0.053,0.049,0.028,0.661
Faced,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vehicles,0.107,0.011,0.039,0.105,0.079,0.065,0.034,0.045,0.026,0.03,0.01,0.653
loan,0.035,0.032,0.019,0.02,0.02,0.007,0.006,0.004,0.007,0.011,0.033,0.774
guarantees,0.002,0.027,0.03,0.001,0.002,0.016,0.007,0.008,0.0,0.0,0.015,0.062
funded,0.008,0.03,0.048,0.006,0.005,0.022,0.031,0.025,0.026,0.021,0.015,0.784
decreases,0.005,0.011,0.011,0.015,0.005,0.001,0.004,0.011,0.016,0.006,0.014,0.743
equally,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recreational,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
