word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
render,0.173,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.972
one,0.022,0.92,0.994,0.991,0.989,0.985,0.981,0.973,0.963,0.945,0.856,0.722
language,0.039,0.019,0.023,0.025,0.016,0.017,0.013,0.023,0.018,0.014,0.062,0.612
in,0.042,0.011,0.984,0.975,0.967,0.953,0.939,0.915,0.874,0.764,0.447,0.737
another,0.049,0.016,0.031,0.024,0.014,0.013,0.013,0.018,0.016,0.022,0.043,0.652
words,0.015,0.965,0.997,0.996,0.995,0.994,0.992,0.989,0.985,0.979,0.957,0.76
from,0.041,0.008,0.847,0.847,0.811,0.763,0.692,0.571,0.454,0.298,0.17,0.749
into,0.053,0.036,0.048,0.054,0.036,0.044,0.028,0.03,0.037,0.023,0.102,0.711
nations,0.011,0.968,0.998,0.997,0.997,0.995,0.994,0.991,0.988,0.981,0.955,0.76
by,0.051,0.006,0.784,0.775,0.728,0.66,0.575,0.455,0.35,0.234,0.152,0.742
shared,0.008,0.021,0.016,0.018,0.009,0.015,0.02,0.03,0.03,0.022,0.045,0.812
interests,0.043,0.017,0.016,0.015,0.016,0.016,0.021,0.026,0.046,0.047,0.116,0.694
history,0.035,0.023,0.026,0.011,0.011,0.011,0.011,0.021,0.023,0.017,0.04,0.732
or,0.036,0.006,0.901,0.865,0.836,0.775,0.71,0.607,0.498,0.333,0.187,0.747
institutions,0.009,0.01,0.011,0.013,0.032,0.033,0.016,0.015,0.018,0.019,0.012,0.324
a,0.024,0.987,0.999,0.999,0.998,0.997,0.997,0.996,0.994,0.991,0.982,0.808
group,0.036,0.017,0.985,0.982,0.975,0.967,0.957,0.94,0.913,0.863,0.589,0.54
of,0.039,0.008,0.672,0.659,0.618,0.547,0.461,0.351,0.265,0.175,0.126,0.715
having,0.099,0.99,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.995,0.99,0.889
common,0.052,0.027,0.017,0.023,0.015,0.013,0.011,0.021,0.011,0.011,0.03,0.716
convert,0.795,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.932
as,0.028,0.035,0.986,0.98,0.974,0.965,0.954,0.937,0.911,0.843,0.596,0.738
if,0.133,0.989,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.989,0.836
with,0.055,0.008,0.523,0.509,0.495,0.438,0.387,0.297,0.23,0.168,0.128,0.683
heat,0.003,0.984,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.992,0.985,0.858
chemical,0.061,0.021,0.022,0.012,0.011,0.008,0.005,0.008,0.009,0.01,0.031,0.714
process,0.014,0.957,0.997,0.996,0.995,0.993,0.992,0.989,0.985,0.979,0.952,0.812
means,0.06,0.029,0.037,0.032,0.03,0.022,0.025,0.036,0.056,0.06,0.174,0.729
action,0.045,0.02,0.024,0.026,0.018,0.016,0.015,0.02,0.016,0.011,0.056,0.749
adapt,0.779,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.994,0.912
to,0.017,0.379,0.991,0.987,0.983,0.976,0.968,0.955,0.939,0.903,0.744,0.807
an,0.312,0.991,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.995,0.99,0.883
study,0.005,0.982,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.986,0.861
work,0.006,0.975,0.998,0.997,0.996,0.995,0.993,0.991,0.988,0.982,0.962,0.859
oneself,0.058,0.025,0.036,0.057,0.058,0.045,0.05,0.07,0.074,0.061,0.097,0.568
special,0.07,0.025,0.024,0.023,0.017,0.012,0.011,0.009,0.015,0.015,0.026,0.678
area,0.019,0.873,0.994,0.993,0.991,0.988,0.985,0.98,0.972,0.961,0.898,0.802
wooden,0.043,0.033,0.039,0.033,0.029,0.015,0.018,0.024,0.043,0.042,0.157,0.511
porch,0.037,0.014,0.024,0.022,0.025,0.04,0.014,0.018,0.033,0.049,0.141,0.79
house,0.062,0.021,0.024,0.029,0.02,0.027,0.028,0.03,0.034,0.026,0.052,0.742
that,0.022,0.938,0.996,0.994,0.993,0.99,0.985,0.981,0.974,0.959,0.887,0.82
the,0.063,0.988,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.992,0.984,0.785
deck,0.051,0.015,0.015,0.012,0.012,0.006,0.008,0.04,0.04,0.028,0.123,0.536
on,0.041,0.007,0.972,0.956,0.945,0.924,0.894,0.849,0.772,0.592,0.3,0.747
ship,0.046,0.023,0.029,0.028,0.025,0.032,0.036,0.052,0.104,0.094,0.175,0.574
either,0.005,0.987,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.993,0.986,0.817
half,0.024,0.045,0.036,0.028,0.019,0.017,0.015,0.019,0.024,0.029,0.022,0.707
bow,0.103,0.035,0.021,0.035,0.016,0.007,0.003,0.017,0.01,0.011,0.025,0.687
two,0.01,0.981,0.998,0.998,0.997,0.997,0.996,0.994,0.992,0.988,0.976,0.816
handle,0.009,0.986,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.996,0.991,0.878
device,0.016,0.032,0.048,0.039,0.023,0.017,0.011,0.012,0.01,0.017,0.058,0.547
is,0.054,0.011,0.85,0.826,0.787,0.717,0.647,0.544,0.419,0.287,0.169,0.639
larger,0.024,0.023,0.036,0.04,0.042,0.029,0.025,0.026,0.034,0.043,0.159,0.624
object,0.038,0.057,0.044,0.029,0.022,0.016,0.021,0.038,0.036,0.021,0.055,0.594
supplementary,0.017,0.067,0.046,0.077,0.025,0.039,0.025,0.017,0.005,0.003,0.021,0.582
part,0.012,0.956,0.997,0.995,0.993,0.991,0.989,0.985,0.981,0.974,0.951,0.736
confine,0.815,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.993,0.94
place,0.004,0.986,0.999,0.998,0.997,0.997,0.996,0.994,0.993,0.99,0.982,0.834
limits,0.054,0.022,0.009,0.025,0.022,0.026,0.023,0.025,0.015,0.013,0.052,0.269
extent,0.036,0.026,0.043,0.015,0.017,0.017,0.019,0.023,0.023,0.021,0.084,0.542
access,0.023,0.008,0.008,0.005,0.008,0.005,0.004,0.013,0.009,0.01,0.013,0.786
be,0.006,0.982,0.998,0.998,0.997,0.996,0.995,0.993,0.991,0.986,0.972,0.848
opposite,0.022,0.024,0.016,0.04,0.022,0.027,0.017,0.007,0.014,0.014,0.07,0.387
Bring,0.607,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.995,0.954
back,0.039,0.026,0.024,0.02,0.018,0.021,0.017,0.013,0.02,0.026,0.034,0.695
life,0.053,0.034,0.028,0.025,0.025,0.02,0.019,0.021,0.019,0.014,0.045,0.724
return,0.149,0.988,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.995,0.991,0.904
dead,0.052,0.031,0.045,0.044,0.029,0.025,0.02,0.025,0.036,0.039,0.08,0.661
cause,0.733,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.994,0.943
become,0.636,0.99,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.996,0.991,0.898
alive,0.064,0.014,0.019,0.016,0.023,0.014,0.028,0.02,0.047,0.041,0.114,0.666
again,0.015,0.972,0.997,0.997,0.996,0.995,0.993,0.991,0.988,0.983,0.96,0.787
anything,0.002,0.987,0.999,0.999,0.998,0.998,0.997,0.996,0.995,0.993,0.986,0.904
not,0.021,0.733,0.993,0.99,0.987,0.982,0.975,0.965,0.948,0.917,0.786,0.78
concrete,0.024,0.95,0.997,0.996,0.995,0.992,0.989,0.986,0.981,0.97,0.921,0.702
real,0.07,0.014,0.019,0.017,0.015,0.018,0.017,0.019,0.023,0.018,0.043,0.641
something,0.013,0.947,0.997,0.995,0.994,0.992,0.99,0.986,0.982,0.972,0.93,0.833
no,0.006,0.977,0.998,0.997,0.997,0.995,0.993,0.991,0.987,0.982,0.964,0.771
substance,0.055,0.025,0.036,0.034,0.049,0.024,0.03,0.034,0.053,0.049,0.139,0.632
name,0.059,0.02,0.022,0.032,0.026,0.021,0.028,0.034,0.029,0.015,0.064,0.785
trait,0.026,0.017,0.037,0.019,0.034,0.033,0.046,0.054,0.091,0.057,0.126,0.528
product,0.058,0.037,0.048,0.041,0.03,0.027,0.02,0.023,0.018,0.011,0.06,0.763
type,0.052,0.041,0.054,0.035,0.02,0.026,0.025,0.037,0.031,0.017,0.094,0.762
thing,0.039,0.021,0.021,0.018,0.018,0.013,0.016,0.036,0.027,0.02,0.114,0.572
given,0.023,0.061,0.99,0.985,0.982,0.977,0.969,0.956,0.941,0.904,0.742,0.751
service,0.042,0.016,0.021,0.024,0.016,0.018,0.016,0.02,0.022,0.015,0.034,0.809
processing,0.007,0.03,0.011,0.009,0.002,0.005,0.01,0.018,0.021,0.016,0.039,0.784
operation,0.035,0.027,0.028,0.024,0.014,0.014,0.011,0.015,0.009,0.006,0.079,0.645
set,0.008,0.983,0.999,0.998,0.998,0.997,0.996,0.994,0.993,0.989,0.978,0.837
sequence,0.04,0.024,0.02,0.017,0.01,0.013,0.011,0.016,0.021,0.02,0.074,0.557
steps,0.048,0.036,0.034,0.032,0.024,0.02,0.022,0.034,0.043,0.041,0.065,0.541
computer,0.016,0.903,0.995,0.994,0.992,0.99,0.987,0.983,0.977,0.966,0.914,0.687
program,0.033,0.013,0.016,0.015,0.017,0.021,0.019,0.024,0.034,0.032,0.063,0.784
line,0.007,0.982,0.998,0.997,0.997,0.996,0.995,0.993,0.991,0.988,0.975,0.799
cover,0.771,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.995,0.95
front,0.028,0.033,0.039,0.058,0.041,0.031,0.028,0.025,0.025,0.021,0.065,0.698
surface,0.02,0.02,0.03,0.021,0.017,0.014,0.017,0.022,0.029,0.026,0.063,0.762
determine,0.341,0.989,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.99,0.847
standard,0.045,0.028,0.022,0.035,0.024,0.02,0.026,0.036,0.043,0.03,0.119,0.734
estimate,0.759,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.912
capacity,0.037,0.01,0.013,0.016,0.019,0.015,0.029,0.026,0.031,0.02,0.023,0.729
measurement,0.024,0.016,0.026,0.014,0.032,0.022,0.033,0.045,0.068,0.076,0.217,0.793
value,0.008,0.975,0.998,0.997,0.996,0.996,0.995,0.993,0.991,0.987,0.971,0.806
interpretation,0.039,0.026,0.036,0.027,0.039,0.014,0.015,0.021,0.039,0.052,0.212,0.567
account,0.057,0.023,0.015,0.02,0.01,0.016,0.028,0.027,0.045,0.049,0.048,0.74
reading,0.03,0.025,0.023,0.024,0.025,0.039,0.033,0.041,0.036,0.017,0.059,0.472
event,0.063,0.04,0.046,0.057,0.039,0.032,0.026,0.03,0.042,0.033,0.073,0.695
situation,0.069,0.019,0.028,0.017,0.025,0.016,0.026,0.038,0.056,0.048,0.186,0.63
mental,0.057,0.032,0.035,0.05,0.037,0.023,0.017,0.022,0.03,0.026,0.145,0.48
representation,0.062,0.022,0.04,0.035,0.041,0.029,0.035,0.04,0.051,0.059,0.179,0.651
meaning,0.032,0.025,0.024,0.02,0.019,0.022,0.019,0.017,0.023,0.022,0.05,0.759
significance,0.07,0.016,0.015,0.017,0.021,0.018,0.046,0.056,0.119,0.083,0.15,0.569
social,0.01,0.971,0.998,0.998,0.997,0.996,0.995,0.994,0.992,0.988,0.976,0.826
occasion,0.067,0.016,0.02,0.029,0.034,0.017,0.023,0.029,0.052,0.064,0.221,0.399
which,0.043,0.004,0.93,0.919,0.903,0.884,0.835,0.751,0.645,0.449,0.215,0.808
people,0.02,0.933,0.996,0.994,0.993,0.991,0.989,0.984,0.979,0.97,0.921,0.809
can,0.037,0.008,0.949,0.944,0.925,0.9,0.867,0.807,0.71,0.527,0.239,0.777
for,0.029,0.008,0.977,0.969,0.96,0.946,0.927,0.89,0.838,0.706,0.356,0.756
and,0.026,0.16,0.99,0.986,0.982,0.975,0.964,0.951,0.928,0.883,0.688,0.788
entertainment,0.02,0.008,0.021,0.019,0.018,0.006,0.009,0.027,0.017,0.023,0.083,0.541
Make,0.795,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.963
fine,0.056,0.033,0.034,0.037,0.019,0.03,0.024,0.03,0.025,0.037,0.036,0.593
optimal,0.018,0.018,0.021,0.012,0.027,0.018,0.018,0.044,0.064,0.064,0.087,0.609
certain,0.054,0.02,0.018,0.02,0.014,0.013,0.014,0.014,0.014,0.015,0.034,0.713
scale,0.054,0.019,0.018,0.007,0.012,0.009,0.01,0.017,0.024,0.01,0.093,0.753
make,0.646,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.938
divide,0.028,0.031,0.029,0.026,0.007,0.006,0.0,0.022,0.025,0.028,0.114,0.363
marked,0.036,0.031,0.017,0.014,0.009,0.004,0.005,0.007,0.01,0.011,0.041,0.597
measuring,0.02,0.009,0.008,0.027,0.042,0.02,0.013,0.035,0.112,0.14,0.195,0.402
short,0.048,0.046,0.038,0.042,0.021,0.022,0.02,0.031,0.043,0.046,0.094,0.712
intended,0.074,0.037,0.049,0.04,0.039,0.019,0.026,0.027,0.04,0.05,0.157,0.694
song,0.025,0.014,0.008,0.018,0.023,0.024,0.02,0.031,0.022,0.012,0.102,0.679
manipulate,0.785,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.994,0.951
entity,0.057,0.016,0.027,0.024,0.016,0.01,0.021,0.041,0.037,0.029,0.218,0.729
employ,0.659,0.988,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.96
employed,0.015,0.012,0.036,0.002,0.008,0.02,0.035,0.033,0.034,0.004,0.009,0.717
position,0.012,0.962,0.997,0.995,0.994,0.993,0.991,0.988,0.984,0.977,0.951,0.781
someone,0.007,0.981,0.999,0.998,0.998,0.997,0.997,0.995,0.994,0.991,0.981,0.874
job,0.043,0.033,0.016,0.015,0.015,0.014,0.015,0.012,0.021,0.029,0.044,0.599
defined,0.047,0.007,0.01,0.011,0.01,0.012,0.01,0.013,0.016,0.011,0.062,0.609
specific,0.043,0.026,0.03,0.027,0.021,0.013,0.009,0.014,0.01,0.006,0.056,0.758
organization,0.019,0.985,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.992,0.981,0.78
associated,0.048,0.013,0.006,0.006,0.003,0.004,0.001,0.012,0.005,0.005,0.018,0.689
personnel,0.017,0.983,0.999,0.999,0.998,0.998,0.997,0.996,0.995,0.992,0.983,0.795
especially,0.023,0.017,0.015,0.02,0.026,0.025,0.031,0.029,0.035,0.038,0.119,0.621
storage,0.255,0.989,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.993,0.939
cabinet,0.052,0.032,0.037,0.026,0.023,0.014,0.025,0.028,0.035,0.036,0.094,0.709
furniture,0.081,0.015,0.021,0.023,0.014,0.02,0.025,0.024,0.027,0.024,0.133,0.645
office,0.021,0.944,0.995,0.994,0.993,0.991,0.989,0.985,0.98,0.972,0.933,0.803
consisting,0.06,0.019,0.027,0.028,0.034,0.025,0.046,0.069,0.089,0.101,0.23,0.709
container,0.051,0.01,0.023,0.011,0.025,0.028,0.027,0.026,0.031,0.021,0.053,0.792
keeping,0.04,0.025,0.031,0.016,0.009,0.008,0.016,0.018,0.023,0.029,0.025,0.592
papers,0.03,0.026,0.032,0.042,0.037,0.025,0.023,0.032,0.026,0.009,0.027,0.694
order,0.047,0.032,0.031,0.043,0.016,0.011,0.009,0.014,0.02,0.017,0.036,0.834
approval,0.051,0.03,0.024,0.03,0.029,0.013,0.028,0.031,0.048,0.048,0.167,0.625
interest,0.044,0.009,0.013,0.012,0.01,0.007,0.015,0.022,0.014,0.009,0.027,0.852
briefly,0.005,0.003,0.007,0.008,0.01,0.023,0.014,0.011,0.023,0.017,0.046,0.577
shut,0.013,0.009,0.006,0.008,0.01,0.013,0.006,0.003,0.011,0.014,0.026,0.685
eye,0.077,0.041,0.028,0.024,0.015,0.015,0.013,0.02,0.043,0.034,0.062,0.68
signal,0.016,0.986,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.993,0.984,0.866
capital,0.021,0.985,0.999,0.999,0.998,0.998,0.998,0.997,0.996,0.994,0.989,0.872
stock,0.03,0.011,0.015,0.016,0.012,0.014,0.016,0.02,0.022,0.019,0.052,0.648
any,0.068,0.99,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.989,0.886
equal,0.033,0.038,0.04,0.033,0.016,0.01,0.01,0.016,0.017,0.018,0.042,0.784
portions,0.08,0.022,0.024,0.004,0.015,0.005,0.007,0.031,0.03,0.032,0.057,0.735
divided,0.071,0.024,0.035,0.046,0.021,0.013,0.012,0.018,0.027,0.03,0.121,0.565
prove,0.427,0.989,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.992,0.93
establish,0.015,0.985,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.995,0.987,0.884
strengthen,0.019,0.002,0.014,0.008,0.016,0.01,0.01,0.013,0.03,0.027,0.085,0.571
new,0.072,0.03,0.042,0.032,0.019,0.015,0.014,0.014,0.012,0.015,0.033,0.606
evidence,0.065,0.031,0.025,0.027,0.019,0.01,0.017,0.019,0.028,0.037,0.057,0.79
facts,0.016,0.004,0.032,0.038,0.028,0.018,0.036,0.027,0.017,0.016,0.013,0.697
content,0.081,0.032,0.038,0.049,0.043,0.023,0.054,0.07,0.083,0.073,0.075,0.383
communication,0.092,0.016,0.035,0.025,0.018,0.017,0.02,0.033,0.03,0.016,0.061,0.759
usually,0.059,0.023,0.03,0.03,0.022,0.022,0.025,0.033,0.034,0.053,0.115,0.782
brief,0.022,0.011,0.016,0.025,0.013,0.011,0.011,0.029,0.048,0.096,0.234,0.551
written,0.035,0.021,0.027,0.04,0.02,0.018,0.015,0.013,0.015,0.01,0.068,0.564
spoken,0.037,0.037,0.034,0.028,0.02,0.015,0.021,0.024,0.018,0.016,0.087,0.469
teeth,0.043,0.008,0.006,0.012,0.014,0.047,0.037,0.044,0.039,0.036,0.067,0.452
side,0.048,0.031,0.046,0.036,0.019,0.025,0.024,0.029,0.018,0.012,0.044,0.663
missing,0.028,0.036,0.028,0.024,0.021,0.011,0.007,0.013,0.01,0.012,0.066,0.563
move,0.735,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.969
lower,0.017,0.91,0.996,0.994,0.992,0.99,0.988,0.983,0.976,0.963,0.908,0.721
association,0.05,0.026,0.051,0.023,0.043,0.019,0.035,0.062,0.088,0.077,0.127,0.565
flow,0.003,0.982,0.998,0.998,0.998,0.997,0.996,0.995,0.994,0.991,0.98,0.851
liquids,0.048,0.009,0.008,0.009,0.015,0.037,0.028,0.017,0.016,0.023,0.102,0.756
reduce,0.83,0.992,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.942
reduced,0.037,0.009,0.025,0.048,0.018,0.028,0.021,0.023,0.016,0.024,0.041,0.859
solid,0.036,0.041,0.028,0.032,0.017,0.012,0.013,0.014,0.018,0.006,0.043,0.678
liquid,0.044,0.024,0.016,0.015,0.011,0.012,0.013,0.017,0.012,0.009,0.015,0.638
state,0.01,0.968,0.997,0.996,0.995,0.994,0.992,0.99,0.986,0.98,0.957,0.721
heating,0.022,0.004,0.006,0.005,0.006,0.003,0.032,0.04,0.05,0.078,0.23,0.59
protect,0.651,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.872
treat,0.698,0.989,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.992,0.858
body,0.048,0.043,0.046,0.04,0.036,0.027,0.029,0.036,0.031,0.011,0.056,0.747
it,0.008,0.98,0.998,0.998,0.997,0.996,0.994,0.992,0.989,0.984,0.968,0.81
applying,0.082,0.034,0.047,0.047,0.061,0.035,0.051,0.048,0.087,0.101,0.269,0.592
provide,0.797,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.899
therapy,0.087,0.02,0.039,0.033,0.05,0.031,0.046,0.071,0.04,0.027,0.054,0.837
blood,0.04,0.012,0.011,0.02,0.02,0.02,0.02,0.024,0.036,0.037,0.05,0.673
physically,0.276,0.988,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.99,0.824
create,0.242,0.989,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.996,0.992,0.937
mark,0.203,0.989,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.991,0.935
marks,0.05,0.044,0.022,0.057,0.042,0.025,0.028,0.03,0.03,0.032,0.047,0.543
completely,0.027,0.965,0.997,0.996,0.996,0.994,0.993,0.991,0.987,0.981,0.955,0.835
close,0.016,0.941,0.995,0.993,0.991,0.988,0.985,0.979,0.973,0.961,0.914,0.712
covering,0.536,0.99,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.993,0.887
border,0.021,0.025,0.02,0.019,0.01,0.011,0.009,0.008,0.01,0.01,0.03,0.706
act,0.007,0.981,0.999,0.998,0.998,0.997,0.996,0.995,0.993,0.99,0.963,0.807
ending,0.026,0.012,0.012,0.023,0.015,0.013,0.01,0.02,0.016,0.014,0.038,0.746
end,0.016,0.891,0.994,0.99,0.987,0.982,0.978,0.97,0.961,0.938,0.857,0.811
word,0.043,0.035,0.033,0.018,0.023,0.022,0.02,0.026,0.028,0.019,0.057,0.715
final,0.011,0.971,0.998,0.997,0.996,0.995,0.994,0.991,0.988,0.982,0.962,0.805
price,0.028,0.029,0.033,0.028,0.02,0.02,0.017,0.015,0.024,0.02,0.052,0.562
good,0.037,0.059,0.991,0.988,0.984,0.98,0.975,0.964,0.948,0.92,0.744,0.763
assertion,0.029,0.028,0.036,0.032,0.016,0.013,0.012,0.014,0.042,0.095,0.341,0.631
guilty,0.049,0.04,0.046,0.042,0.03,0.023,0.035,0.039,0.038,0.03,0.102,0.876
fault,0.047,0.018,0.013,0.023,0.018,0.01,0.007,0.006,0.024,0.027,0.094,0.587
art,0.06,0.019,0.014,0.006,0.012,0.022,0.012,0.002,0.006,0.0,0.019,0.487
model,0.036,0.02,0.07,0.107,0.062,0.045,0.053,0.049,0.035,0.027,0.07,0.703
image,0.04,0.02,0.02,0.025,0.017,0.019,0.04,0.034,0.037,0.02,0.09,0.59
travel,0.626,0.988,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.994,0.94
shaped,0.049,0.003,0.011,0.024,0.042,0.031,0.029,0.043,0.018,0.038,0.251,0.189
like,0.012,0.959,0.996,0.993,0.991,0.989,0.985,0.98,0.974,0.961,0.912,0.719
bend,0.038,0.988,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.986,0.922
shape,0.011,0.986,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.996,0.99,0.915
perhaps,0.009,0.973,0.998,0.997,0.997,0.996,0.995,0.993,0.99,0.984,0.96,0.791
playfully,0.08,0.044,0.06,0.041,0.028,0.036,0.008,0.019,0.034,0.026,0.124,0.676
fun,0.027,0.025,0.03,0.019,0.016,0.011,0.011,0.012,0.006,0.011,0.051,0.725
Cause,0.031,0.987,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.991,0.954
smell,0.604,0.99,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.992,0.838
bad,0.047,0.015,0.025,0.025,0.013,0.019,0.032,0.04,0.051,0.044,0.066,0.751
extremely,0.047,0.035,0.049,0.041,0.033,0.028,0.032,0.018,0.009,0.004,0.039,0.539
quality,0.065,0.018,0.015,0.014,0.011,0.018,0.03,0.042,0.053,0.025,0.096,0.763
's,0.051,0.033,0.028,0.023,0.023,0.019,0.02,0.029,0.038,0.049,0.131,0.56
performance,0.05,0.012,0.011,0.012,0.01,0.016,0.024,0.028,0.039,0.023,0.09,0.701
relative,0.399,0.987,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.993,0.916
standing,0.031,0.023,0.029,0.038,0.019,0.017,0.017,0.017,0.016,0.012,0.079,0.492
things,0.023,0.828,0.995,0.992,0.99,0.987,0.984,0.977,0.969,0.953,0.869,0.757
persons,0.04,0.013,0.032,0.004,0.005,0.013,0.009,0.02,0.017,0.01,0.067,0.658
society,0.022,0.022,0.021,0.025,0.018,0.02,0.011,0.019,0.033,0.019,0.065,0.599
consider,0.028,0.988,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.988,0.914
observe,0.777,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.949
carefully,0.01,0.009,0.015,0.016,0.019,0.018,0.017,0.011,0.017,0.012,0.03,0.566
detail,0.032,0.015,0.013,0.017,0.018,0.019,0.025,0.019,0.024,0.019,0.042,0.795
subject,0.015,0.975,0.998,0.997,0.996,0.995,0.994,0.992,0.99,0.986,0.971,0.834
analysis,0.042,0.02,0.028,0.03,0.025,0.013,0.016,0.017,0.014,0.011,0.04,0.752
discover,0.779,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.952
essential,0.031,0.017,0.017,0.012,0.029,0.014,0.02,0.015,0.024,0.023,0.029,0.708
features,0.041,0.018,0.015,0.023,0.019,0.019,0.015,0.012,0.008,0.006,0.149,0.564
achieve,0.062,0.053,0.068,0.071,0.041,0.044,0.016,0.024,0.029,0.034,0.153,0.606
acceptance,0.072,0.048,0.054,0.052,0.069,0.047,0.078,0.064,0.075,0.052,0.092,0.741
somebody,0.03,0.01,0.015,0.013,0.036,0.035,0.039,0.06,0.073,0.085,0.17,0.489
accept,0.026,0.985,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.987,0.922
physical,0.016,0.972,0.998,0.997,0.997,0.996,0.995,0.994,0.992,0.988,0.971,0.764
matter,0.011,0.982,0.998,0.998,0.997,0.996,0.995,0.994,0.992,0.989,0.975,0.76
left,0.032,0.019,0.021,0.017,0.015,0.013,0.013,0.017,0.016,0.009,0.036,0.577
behind,0.033,0.047,0.029,0.035,0.032,0.034,0.025,0.032,0.03,0.028,0.067,0.715
after,0.019,0.489,0.993,0.991,0.988,0.983,0.977,0.969,0.957,0.925,0.78,0.809
removal,0.037,0.024,0.042,0.031,0.04,0.034,0.023,0.029,0.031,0.037,0.079,0.717
remains,0.029,0.022,0.021,0.017,0.017,0.011,0.019,0.035,0.059,0.065,0.196,0.677
has,0.034,0.011,0.98,0.976,0.969,0.958,0.944,0.922,0.882,0.785,0.444,0.753
been,0.039,0.02,0.03,0.016,0.01,0.01,0.013,0.025,0.024,0.024,0.062,0.796
removed,0.062,0.013,0.026,0.034,0.028,0.01,0.024,0.036,0.063,0.093,0.231,0.641
tall,0.029,0.034,0.032,0.045,0.022,0.018,0.02,0.019,0.022,0.03,0.023,0.594
vertical,0.042,0.031,0.053,0.04,0.023,0.027,0.018,0.02,0.018,0.028,0.081,0.76
column,0.02,0.012,0.022,0.007,0.005,0.006,0.006,0.011,0.018,0.023,0.025,0.614
heavy,0.01,0.978,0.998,0.998,0.997,0.996,0.996,0.994,0.992,0.987,0.973,0.679
radioactive,0.076,0.037,0.037,0.029,0.024,0.022,0.025,0.029,0.037,0.036,0.123,0.683
element,0.021,0.013,0.02,0.01,0.019,0.014,0.017,0.026,0.027,0.013,0.026,0.739
atomic,0.072,0.035,0.048,0.047,0.047,0.037,0.026,0.023,0.015,0.019,0.033,0.755
number,0.059,0.037,0.05,0.045,0.019,0.02,0.019,0.024,0.027,0.019,0.063,0.789
white,0.04,0.025,0.049,0.051,0.023,0.024,0.015,0.021,0.016,0.019,0.105,0.58
occurs,0.045,0.025,0.033,0.034,0.055,0.051,0.049,0.07,0.1,0.111,0.3,0.555
